CompanyName;tickers;country;industry;ISIN;
Terna Rette Electrica;TRN.MI;IT;UTL;;
Audax Renovables;ADX.MC;ES;UTL;ES0136463017 ;
Faes Farma;FAE.MC;ES;PHA;ES0134950F36;
Solaria;SLR.MC;ES;UTL;ES0165386014;
Stora Enso Oyj;STERV.HE;FI;MAT;FI0009005961;
Acciona;ANA.MC;ES;CON;ES0125220311;
Acerinox;ACX.MC;ES;MAT;ES0132105018;
ACS Group;ACS.MC;ES;CON;ES0167050915;
Aena;AENA.MC;ES;AIR;ES0105046009;
Amadeus IT Group;AMS.MC;ES;TECH;ES0109067019;
ArcelorMittal;MTS.MC;ES;MAT;LU1598757687;
Banco Sabadell;SAB.MC;ES;BAN;ES0113860A34;
Banco Santander;SAN.MC;ES;BAN;ES0113900J37;
Bankia;BKIA.MC;ES;BAN;ES0113307062;
Bankinter;BKT.MC;ES;BAN;ES0113679I37;
BBVA;BBVA.MC;ES;BAN;ES0113211835;
CaixaBank;CABK.MC;ES;BAN;ES0140609019;
Cellnex Telecom;CLNX.MC;ES;TECH;ES0105066007;
CIE Automotive;CIE.MC;ES;AUT;ES0105630315;
Enagás;ENG.MC;ES;UTL;ES0130960018;
ENCE;ENC.MC;ES;IND;ES0130625512;
Endesa;ELE.MC;ES;UTL;ES0130670112;
Ferrovial;FER.MC;ES;CON;ES0118900010;
Grifols;GRF.MC;ES;PHA;ES0171996087;
IAG;IAG.MC;ES;FLI;ES0177542018;
Iberdrola;IBE.MC;ES;UTL;ES0144580Y14;
Inditex;ITX.MC;ES;RET;ES0148396007;
Indra;IDR.MC;ES;TECH;ES0118594417;
Inmobiliaria Colonial;COL.MC;ES;INM;ES0139140174;
Mapfre;MAP.MC;ES;INS;ES0124244E34;
Mediaset España;TL5.MC;ES;MED;ES0152503035;
Meliá Hotels;MEL.MC;ES;HOT;ES0176252718;
Merlin Properties;MRL.MC;ES;INM;ES0105025003;
Naturgy;NTGY.MC;ES;UTL;ES0116870314;
Red Eléctrica de España;REE.MC;ES;UTL;ES0173093024;
Repsol;REP.MC;ES;OIL;ES0173516115;
Siemens Gamesa;SGRE.MC;ES;IND;ES0143416115;
Técnicas Reunidas;TRE.MC;ES;IND;ES0178165017;
Telefónica;TEF.MC;ES;COM;ES0178430E18;
Viscofan;VIS.MC;ES;FOOD;ES0184262212;
Accor;AC.PA;FR;HOT;;
Air Liquide;AI.PA;FR;CHE;;
Airbus;AIR.PA;FR;IND;;
ArcelorMittal;MT.AS;FR;MAT;;
Atos;ATO.PA;FR;TECH;;
AXA;CS.PA;FR;INS;;
BNP Paribas;BNP.PA;FR;BAN;;
Bouygues;EN.PA;FR;CON;;
Capgemini;CAP.PA;FR;TECH;;
Carrefour;CA.PA;FR;FOOD;;
Crédit Agricole;ACA.PA;FR;BAN;;
Danone;BN.PA;FR;FOOD;;
Dassault Systèmes;DSY.PA;FR;TECH;;
Engie;ENGI.PA;FR;UTL;;
Essilor;EL.PA;FR;HEALTH;;
Hermès;RMS.PA;FR;RET;;
Kering;KER.PA;FR;RET;;
L'Oréal;OR.PA;FR;RET;;
Legrand;LR.PA;FR;IND;;
LVMH;MC.PA;FR;RET;;
Michelin;ML.PA;FR;AUT;;
Orange;ORA.PA;FR;COM;;
Pernod Ricard;RI.PA;FR;FOOD;;
PSA;UG.PA;FR;AUT;;
Publicis;PUB.PA;FR;MED;;
Renault;RNO.PA;FR;AUT;;
Safran;SAF.PA;FR;AIR;;
Saint-Gobain;SGO.PA;FR;IND;;
Sanofi;SAN.PA;FR;PHA;;
Schneider Electric;SU.PA;FR;IND;;
Société Générale;GLE.PA;FR;BAN;;
Sodexo;SW.PA;FR;FOOD;;
STMicroelectronics;STM.PA;FR;IND;;
Thales;HO.PA;FR;IND;;
Total;FP.PA;FR;OIL;;
Unibail-Rodamco-Westfield;URW.AS;FR;INM;;
Veolia;VIE.PA;FR;UTL;;
Vinci;DG.PA;FR;CON;;
Vivendi;VIV.PA;FR;MED;;
Worldline;WLN.PA;FR;TECH;;
Air France–KLM;AF.PA;FR;FLI;;
Alstom;ALO.PA;FR;IND;;
Arkema;AKE.PA;FR;CHE;;
Bureau Veritas;BVI.PA;FR;SER;;
Edenred;EDEN.PA;FR;BAN;;
EDF;EDF.PA;FR;UTL;;
Eiffage;FGR.PA;FR;CON;;
Faurecia;EO.PA;FR;AUT;;
Gecina;GFC.PA;FR;INM;;
Getlink;GET.PA;FR;IND;;
Ingenico;ING.PA;FR;IND;;
Klépierre;LI.PA;FR;INM;;
Natixis;KN.PA;FR;BAN;;
Scor;SCR.PA;FR;INS;;
SES;SESG.PA;FR;COM;;
Solvay;SOLB.BR;BE;CHE;;
Suez Environnement;SEV.PA;FR;UTL;;
Teleperformance;RCF.PA;FR;SER;;
Ubisoft;UBI.PA;FR;SER;;
1&1 Drillisch;DRI.DE;DE;COM;;
Aareal Bank AG;ARL.DE;DE;BAN;;
Alstria office REIT-AG;AOX.DE;DE;INM;;
Aroundtown SA;AT1.DE;DE;INM;;
Aurubis AG;NDA.DE;DE;MAT;;
Axel Springer SE;SPR.DE;DE;MED;;
Bechtle AG;BC8.DE;DE;TECH;;
Brenntag AG;BNR.DE;DE;CHE;;
Commerzbank AG;CBK.DE;DE;BAN;;
CTS Eventim;EVD.DE;DE;BAN;;
Delivery Hero SE;DHER.DE;DE;FOOD;;
Deutsche EuroShop AG;DEQ.DE;DE;INM;;
Deutsche Pfandbriefbank AG;PBB.DE;DE;MED;;
Dürr AG;DUE.DE;DE;AUT;;
Evonik Industries;EVK.DE;DE;CHE;;
Evotec;EVT.DE;DE;HEALTH;;
Fielmann;FIE.DE;DE;MAT;;
Freenet AG;FNTN.DE;DE;COM;;
Fuchs Petrolub SE;FPE.DE;DE;CHE;;
GEA Group;G1A.DE;DE;IND;;
Gerresheimer;GXI.DE;DE;HEALTH;;
Grand City Properties;GYC.DE;DE;INM;;
Hannover Rück SE;HNR1.DE;DE;INS;;
Hella KGaA Hueck & Co.;HLE.DE;DE;AUT;;
Hochtief;HOT.DE;DE;CON;;
Hugo Boss;BOSS.DE;DE;RET;;
Innogy SE;IGY.DE;DE;UTL;;
K+S AG;SDF.DE;DE;MAT;;
KION Group;KGX.DE;DE;MAT;;
Lanxess AG;LXS.DE;DE;CHE;;
LEG Immobilien;LEG.DE;DE;INM;;
Metro AG;B4B.DE;DE;RET;;
MorphoSys;MOR.DE;DE;HEALTH;;
MTU;MTX.DE;DE;IND;;
Nemetschek;NEM.DE;DE;SER;;
Norma Group;NOEJ.DE;DE;SER;;
Osram;OSR.DE;DE;IND;;
ProSiebenSat.1 Media;PSM.DE;DE;MED;;
Puma SE;PUM.DE;DE;RET;;
Qiagen;QIA.DE;DE;HEALTH;;
Rheinmetall;RHM.DE;DE;MAT;;
Rocket Internet;RKET.DE;DE;TECH;;
RTL Group;RRTL.DE;DE;MED;;
Salzgitter AG;SZG.DE;DE;MAT;;
Sartorius AG;SRT.DE;DE;#N/A;;
Schaeffler AG;SHA.DE;DE;AUT;;
Scout24 AG;G24.DE;DE;SER;;
Siemens Healthineers;SHL.DE;DE;HEALTH;;
Siltronic;WAF.DE;DE;#N/A;;
Software AG;SOW.DE;DE;TECH;;
Symrise;SY1.DE;DE;#N/A;;
TAG;TEG.DE;DE;INM;;
Telefónica Germany;O2D.DE;DE;COM;;
Uniper SE;UN01.DE;DE;UTL;;
United Internet;UTDI.DE;DE;COM;;
Wacker Chemie;WCH.DE;DE;CHE;;
Zalando SE;ZAL.DE;DE;RET;;
Adidas;ADS.DE;DE;RET;;
Allianz;ALV.DE;DE;INS;;
BASF;BAS.DE;DE;CHE;;
Bayer;BAYN.DE;DE;PHA;;
Beiersdorf;BEI.DE;DE;#N/A;;
Continental;CON.DE;DE;#N/A;;
Covestro;1COV.DE;DE;CHE;;
Daimler;DAI.DE;DE;#N/A;;
Deutsche Börse;DB1.DE;DE;#N/A;;
Deutsche Post;DPW.DE;DE;TRANS;;
E.ON;EOAN.DE;DE;UTL;;
Fresenius;FRE.DE;DE;HEALTH;;
Fresenius Medical Care;FME.DE;DE;HEALTH;;
HeidelbergCement;HEI.DE;DE;CON;;
Henkel;HEN3.DE;DE;IND;;
Infineon Technologies;IFX.DE;DE;IND;;
Linde;LIN.DE;DE;IND;;
Merck;MRK.DE;DE;PHA;;
MTU Aero Engines;MTX.DE;DE;IND;;
Munich Re;MUV2.DE;DE;INS;;
RWE;RWE.DE;DE;UTL;;
SAP;SAP.DE;DE;TECH;;
Siemens;SIE.DE;DE;IND;;
Volkswagen Group;VOW3.DE;DE;AUT;;
Vonovia;VNA.DE;DE;INM;;
Wirecard;WDI.DE;DE;TECH;;
A2A;A2A.MI;IT;;;
Amplifon;AMP.MI;IT;;;
Atlantia;ATL.MI;IT;TRANS;;
Azimut;AZM.MI;IT;BAN;;
Banca Generali;BGN.MI;IT;BAN;;
Banco BPM;BAMI.MI;IT;BAN;;
BPER Banca;BPE.MI;IT;BAN;;
Brembo;BRE.MI;IT;AUT;;
Buzzi Unicem;BZU.MI;IT;CON;;
Campari;CPR.MI;IT;FOOD;;
CNH Industrial;CNHI.MI;IT;IND;;
Diasorin;DIA.MI;IT;SUP;;
Enel;ENEL.MI;IT;UTL;;
Eni;ENI.MI;IT;OIL;;
Exor;EXO.MI;IT;BAN;;
Ferrari;RACE.MI;IT;AUT;;
Fiat Chrysler Automobiles;FCA.MI;IT;AUT;;
FinecoBank;FBK.MI;IT;BAN;;
Intesa Sanpaolo;ISP.MI;IT;BAN;;
Italgas;IG.MI;IT;UTL;;
Juventus Football Club;JUVE.MI;IT;;;
Leonardo;LDO.MI;IT;IND;;
Mediobanca;MB.MI;IT;BAN;;
Moncler;MONC.MI;IT;RET;;
Pirelli;PIRC.MI;IT;AUT;;
Poste italiane;PST.MI;IT;TRANS;;
Prysmian;PRY.MI;IT;IND;;
Recordati;REC.MI;IT;HEALH;;
Saipem;SPM.MI;IT;IND;;
Salvatore Ferragamo;SFER.MI;IT;RET;;
Snam;SRG.MI;IT;UTL;;
STMicroelectronics;STM.MI;IT;TECH;;
Telecom Italia;TIT.MI;IT;COM;;
Tenaris;TEN.MI;IT;MAT;;
UBI Banca;UBI.MI;IT;BAN;;
UniCredit;UCG.MI;IT;BAN;;
Unipol;UNI.MI;IT;INS;;
UnipolSai;US.MI;IT;INS;;
Accell Group;ACCEL.AS;HO;SER;;
Amsterdam Commodities;ACOMO.AS;HO;FOOD;;
Avantium;AVTX.AS;HO;CHE;;
Basic-Fit;BFIT.AS;HO;SER;;
Beter Bed;BBED.AS;HO;RET;;
Binckbank;BINCK.AS;HO;BAN;;
Brunel International;BRNL.AS;HO;SER;;
Fagron;FAGR.AS;HO;HEALTH;;
Forfarmers;FFARM.AS;HO;MAT;;
Heijmans;HEIJM.AS;HO;CON;;
Hunter Douglas;HDG.AS;HO;RET;;
ICT Group;ICT.AS;HO;TECH;;
Kas Bank;KA.AS;HO;BAN;;
Kendrion;KENDR.AS;HO;IND;;
Kiadis;KDS.AS;HO;HEALTH;;
Lucas Bols;BOLS.AS;HO;FOOD;;
Nedap;NEDAP.AS;HO;IND;;
NSI NV;NSI.AS;HO;RET;;
Ordina;ORDI.AS;HO;TECH;;
Pharming Group;PHARM.AS;HO;HEALTH;;
SIF Holding;SIFG.AS;HO;IND;;
V Lanschot Kempen;VLK.AS;HO;BAN;;
Vastned;VASTN.AS;HO;RET;;
VolkerWessels;KVW.AS;HO;CON;;
Wessanen;WES.AS;HO;FOOD;;
Aalberts;AALB.AS;HO;IND;;
ABN AMRO;ABN.AS;HO;BAN;;
Adyen;ADYEN.AS;HO;SER;;
Aegon;AGN.AS;HO;INS;;
Ahold Delhaize;AD.AS;HO;FOOD;;
AkzoNobel;AKZA.AS;HO;CHE;;
ArcelorMittal;MT.AS;HO;MAT;;
ASML Holding;ASML.AS;HO;IND;;
ASR Nederland;ASRNL.AS;HO;INS;;
DSM;DSM.AS;HO;CHE;;
Galapagos;GLPG.AS;HO;HEALTH;;
Heineken;HEIA.AS;HO;FOOD;;
IMCD;IMCD.AS;HO;CHE;;
ING Group;INGA.AS;HO;BAN;;
Just Eat Takeaway;TKWY.AS;HO;SER;;
KPN;KPN.AS;HO;COM;;
NN Group;NN.AS;HO;INS;;
Randstad;RAND.AS;HO;SER;;
RELX;REN.AS;HO;MED;;
Royal Dutch Shell;RDSA.AS;HO;OIL;;
Unibail-Rodamco-Westfield;URW.AS;HO;RET;;
Vopak;VPK.AS;HO;TRANS;;
Wolters Kluwer;WKL.AS;HO;MED;;
Ackermans & van Haaren;ACKB.BR;BE;BAN;;
Aedifica;AED.BR;BE;INM;;
Ageas;AGS.BR;BE;INS;;
AB InBev;ABI.BR;BE;FOOD;;
Aperam;APAM.BR;BE;MAT;;
