"CompanyName";"tickers";"country";"industry";"ISIN"
"Covestro";"1COV.DE";"DE";"CHE";NA
"A2A";"A2A.MI";"IT";NA;NA
"Aalberts";"AALB.AS";"HO";"IND";"NL0000852564"
"AB InBev";"ABI.BR";"BE";"FOOD";"BE0974293251"
"ABN AMRO";"ABN.AS";"HO";"BAN";"NL0011540547"
"Accor";"AC.PA";"FR";"HOT";"FR0000120404"
"Crédit Agricole";"ACA.PA";"FR";"BAN";"FR0000045072"
"Accell Group";"ACCEL.AS";"HO";"SER";"NL0009767532"
"Aspocomp Group Oyj";"ACG1V.HE";"FI";"IND";"FI0009008080"
"Ackermans & van Haaren";"ACKB.BR";"BE";"BAN";"BE0003764785"
"Amsterdam Commodities";"ACOMO.AS";"HO";"FOOD";"NL0000313286"
"ACS Group";"ACS.MC";"ES";"CON";"ES0167050915"
"Acerinox";"ACX.MC";"ES";"MAT";"ES0132105018"
"Ahold Delhaize";"AD.AS";"HO";"FOOD";"NL0011794037"
"Adidas";"ADS.DE";"DE";"RET";NA
"Audax Renovables";"ADX.MC";"ES";"UTL";"ES0136463017 "
"Adyen";"ADYEN.AS";"HO";"SER";"NL0012969182"
"Aedifica";"AED.BR";"BE";"INM";"BE0003851681"
"Aena";"AENA.MC";"ES";"AIR";"ES0105046009"
"Air France–KLM";"AF.PA";"FR";"FLI";"FR0000031122"
"Afarak Group Oyj";"AFAGR.HE";"FI";"MAT";"FI0009800098"
"Aegon";"AGN.AS";"HO";"INS";"NL0000303709"
"Ageas";"AGS.BR";"BE";"INS";"BE0974264930"
"Air Liquide";"AI.PA";"FR";"CHE";"FR0000120073"
"Airbus";"AIR.PA";"FR";"IND";"NL0000235190"
"Arkema";"AKE.PA";"FR";"CHE";"FR0010313833"
"Aktia Bank Abp";"AKTIA.HE";"FI";"BAN";"FI4000058870"
"AkzoNobel";"AKZA.AS";"HO";"CHE";"NL0013267909"
"Ålandsbanken Abp A";"ALBAV.HE";"FI";"BAN";"FI0009000103"
"Ålandsbanken Abp B";"ALBBV.HE";"FI";"BAN";"FI0009001127"
"Almirall";"ALM.MC";"ES";"PHA";NA
"Alma Media Oyj";"ALMA.HE";"FI";"SER";"FI0009013114"
"Alstom";"ALO.PA";"FR";"IND";"FR0010220475"
"Altia Oyj";"ALTIA.HE";"FI";"RET";"FI4000292438"
"Altri";"ALTR.LS";"PO";"IND";"PTALT0AE0002"
"Allianz";"ALV.DE";"DE";"INS";NA
"Ahlstrom-Munksjö Oyj";"AM1.HE";"FI";"MAT";"FI4000048418"
"Amplifon";"AMP.MI";"IT";NA;NA
"Amadeus IT Group";"AMS.MC";"ES";"TECH";"ES0109067019"
"Acciona";"ANA.MC";"ES";"CON";"ES0125220311"
"Andritz AG";"ANDR.VI";"AT";NA;NA
"Alstria office REIT-AG";"AOX.DE";"DE";"INM";NA
"Apetit Oyj";"APETIT.HE";"FI";"RET";"FI0009003503"
"arGEN-X";"ARGX.BR";"BE";"HEALTH";"NL0010832176"
"Aareal Bank AG";"ARL.DE";"DE";"BAN";NA
"ASML Holding";"ASML.AS";"HO";"IND";"NL0010273215"
"Aspo Oyj";"ASPO.HE";"FI";"IND";"FI0009008072"
"ASR Nederland";"ASRNL.AS";"HO";"INS";"NL0011872643"
"Aroundtown SA";"AT1.DE";"DE";"INM";NA
"Atlantia";"ATL.MI";"IT";"TRANS";NA
"Atos";"ATO.PA";"FR";"TECH";"FR0000051732"
"Atria Oyj A";"ATRAV.HE";"FI";"RET";"FI0009006548"
