Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,17.8,17.8,17.3,17.3,10.07.2020 16:18,CET,369,6458.3
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,4.125,4.16,3.84,3.87,10.07.2020 17:35,CET,73218,289046.29
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.48,1.48,1.35,1.35,13.11.2019 16:53,CET,378,521.87
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,2.7,2.75,2.69,2.75,10.07.2020 16:40,CET,2253,6174.77
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,28.9,29.5,28.5,29.39,10.07.2020 17:35,CET,196400,5742721.79
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,44.925,47.18,44.81,47.18,10.07.2020 17:35,CET,2190297,101655680.99
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,8.72,8.75,8.48,8.56,10.07.2020 17:35,CET,118456,1018986.47
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR,47.7,47.7,47.7,47.7,24.01.2017 11:30,CET,500,23850
ABBEY PLC,IE0000020408,DOY,Euronext Growth Dublin,EUR,14.7,14.7,14.7,14.7,07.07.2020 17:30,UTC,1,14.7
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,7.01,7.02,6.94,7.02,10.07.2020 17:38,CET,15001,104893.56
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,7.26,7.4,7.2,7.22,10.07.2020 16:20,CET,851,6203.22
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,0.778,0.778,0.723,0.751,10.07.2020 17:35,CET,221004,165843.4
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,22.3,24,22.15,23.2,10.07.2020 17:35,CET,52923,1230186.05
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,7.7,8.106,7.65,8.082,10.07.2020 17:38,CET,3483662,27651279.94
ABO GROUP,BE0974278104,ABO,Euronext Brussels,EUR,2.28,2.28,2.28,2.28,06.07.2020 11:30,CET,30,68.4
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,2.835,2.87,2.78,2.835,10.07.2020 17:35,CET,114846,324170.84
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.42,0.42,0.42,0.42,10.07.2020 10:52,CET,240,100.8
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,20.55,20.7,20.05,20.25,10.07.2020 17:35,CET,83466,1693654.45
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0495,0.0495,0.0495,0.0495,09.07.2020 11:04,CET,70729,3501.09
ACCOR,FR0000120404,AC,Euronext Paris,EUR,23.67,24.13,23.33,24.13,10.07.2020 17:36,CET,993828,23675781.65
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.005,1.01,1,1,10.07.2020 17:35,CET,117757,118191.88
ACHETER-LOUER.FR,FR0010493510,ALALO,Euronext Growth Paris,EUR,0.0247,0.0249,0.0238,0.0241,10.07.2020 17:29,CET,2404166,58178.12
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,112.6,113.6,111.5,113.2,10.07.2020 17:35,CET,29342,3302956.1
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.185,1.19,1.175,1.19,10.07.2020 16:50,CET,2839,3357.68
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,2.215,2.26,2.215,2.26,10.07.2020 17:35,CET,992,2217.66
ACTIPLAY (GROUPE),FR0011038348,ALACT,Euronext Growth Paris,EUR,0.746,0.902,0.706,0.742,10.07.2020 17:35,CET,714453,581211.07
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris,EUR,1.58,1.58,1.58,1.58,06.07.2020 13:58,CET,10,15.8
ACVLHO,BE0010012210,-,Euronext Expert Market,EUR,4500.01,4500.01,4500.01,4500.01,07.07.2015 11:30,CET,3,13500.03
ADA,FR0000053076,ALADA,Euronext Growth Paris,EUR,8.9,8.95,8.7,8.7,10.07.2020 12:41,CET,316,2778.15
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.094,0.094,0.094,0.094,06.07.2020 11:30,CET,10000,940
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris,EUR,2.94,2.98,2.81,2.95,10.07.2020 17:35,CET,13630,39710.66
ADL PARTNER,FR0000062978,ALP,Euronext Paris,EUR,9.92,9.94,9.56,9.94,10.07.2020 17:24,CET,1174,11439.22
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.3,8.3,8.22,8.22,10.07.2020 17:35,CET,3946,32496.91
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris,EUR,0.439,0.439,0.422,0.438,10.07.2020 17:28,CET,5582,2408.88
ADP,FR0010340141,ADP,Euronext Paris,EUR,90.05,92.75,89.6,92.75,10.07.2020 17:35,CET,86860,7938817.75
ADTHINK,FR0010457531,ALADM,Euronext Growth Paris,EUR,0.64,0.64,0.612,0.616,10.07.2020 15:27,CET,15329,9499.3
ADUX,FR0012821890,ADUX,Euronext Paris,EUR,1.51,1.51,1.48,1.48,10.07.2020 15:55,CET,1013,1523.42
ADVENIS,FR0004152874,ADV,Euronext Paris,EUR,1.13,1.35,1.13,1.18,10.07.2020 13:54,CET,8761,10984.89
ADVICENNE,FR0013296746,ADVIC,"Euronext Paris, Brussels",EUR,6.7,7.3,6.7,7,10.07.2020 17:19,CET,11174,78822.42
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,19.8,19.8,19.5,19.5,10.07.2020 14:32,CET,13,254.4
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,1402.5,1403,1366.5,1379.5,10.07.2020 17:35,CET,80216,111014903
AEDIFICA,BE0003851681,AED,"Euronext Brussels, Amsterdam",EUR,96.6,98.3,95.9,98,10.07.2020 17:35,CET,39237,3816387.1
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR,2.67,2.763,2.651,2.754,10.07.2020 17:35,CET,10760792,29188249.24
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,11,11,11,11,10.07.2020 09:00,CET,1,11
AG3I,FR0011908045,MLAGI,Euronext Access Paris,EUR,3.46,3.46,3.46,3.46,08.11.2019 16:30,CET,2,6.92
AGARTHA REAL EST,ES0105422002,MLAGA,Euronext Access Paris,EUR,-,-,-,1.56,22.07.2019 00:00,CET,-,-
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,33.01,33.82,32.73,33.82,10.07.2020 17:35,CET,477534,15934820.58
AGENCE MARIT MINNE,BE0024915838,-,Euronext Expert Market,EUR,-,-,-,-,-,CET,-,-
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,3.66,3.7,3.625,3.64,10.07.2020 17:35,CET,131428,480455.62
AGP MALAGA SOCIMI,ES0105478004,MLAGP,Euronext Access Paris,EUR,2.93,2.93,2.93,2.93,18.06.2020 00:00,CET,-,-
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris,EUR,9.3,9.6,8.9,9.06,10.07.2020 17:21,CET,7043,65040.48
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris,EUR,0.079,0.0816,0.0778,0.0802,10.07.2020 17:26,CET,124171,9769.59
AGTA RECORD,CH0008853209,AGTA,Euronext Paris,EUR,69,69,69,69,10.07.2020 17:35,CET,12,828
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon,EUR,1.17,1.17,1.17,1.17,06.09.2017 20:30,BST,32,37.44
AHOLD DEL,NL0011794037,AD,"Euronext Amsterdam, Brussels",EUR,24.03,24.53,24,24.48,10.07.2020 17:38,CET,2599460,63435273.62
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin,EUR,1.077,1.12,1.073,1.109,10.07.2020 17:30,UTC,2382237,2617026.59
AIR FRANCE -KLM,FR0000031122,AF,"Euronext Paris, Amsterdam",EUR,3.94,4.049,3.91,4.026,10.07.2020 17:35,CET,2676165,10720649
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,131.85,135.65,131.7,135,10.07.2020 17:38,CET,988670,133139062.75
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris,EUR,2.38,2.4,2.38,2.4,10.07.2020 16:30,CET,11,26.2
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,62.22,65.81,62.02,65.45,10.07.2020 17:35,CET,2412795,155587280.04
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,15.44,15.58,15.2,15.24,10.07.2020 17:35,CET,355,5425.74
AKKA TECHNOLOGIES,FR0004180537,AKA,"Euronext Paris, Brussels",EUR,24.4,25.15,23.45,24.85,10.07.2020 17:35,CET,75847,1834587.35
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,13.84,14,13.8,13.82,10.07.2020 17:35,CET,3064,42574.52
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,81.48,81.86,80.68,80.82,10.07.2020 17:36,CET,647004,52429213.64
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,39.4,40.25,38.9,39.95,10.07.2020 17:35,CET,58164,2313494.05
ALD,FR0013258662,ALD,Euronext Paris,EUR,8.5,8.67,8.46,8.61,10.07.2020 17:36,CET,90142,773417.13
ALES GROUPE,FR0000054652,ALPHY,Euronext Growth Paris,EUR,1.18,1.2,1.18,1.18,29.06.2020 16:07,CET,1401,1671.18
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,41.2,41.45,39.1,39.95,10.07.2020 17:35,CET,231115,9288432.05
ALIAXIS,BE0941243520,-,Euronext Expert Market,EUR,16.4,16.4,16.4,16.4,07.07.2020 11:30,CET,1000,16400
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,17.04,17.06,16.72,17,10.07.2020 17:35,CET,19105,323066.34
