Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities11 Oct 2020All datapoints provided as of end of last active trading day.1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;15.6;15.7;15.6;15.7;"09/10/20 10:55";CET;165;2586.2
"SOLUTIONS 30 SE";FR0013379484;S30;"Euronext Paris";EUR;18,00;18,66;17,91;18,64;"09/10/20 17:38";CET;287917;5285586,44
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;4,01;4,25;3,97;4,10;"09/10/20 17:29";CET;120492;499833,76
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1,48;1,48;1,35;1,35;"13/11/19 16:53";CET;378;521,87
"A.S.T. GROUPE";FR0000076887;ASP;"Euronext Paris";EUR;4,05;4,13;4,00;4,00;"09/10/20 17:36";CET;12030;48406,77
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;33,10;33,93;33,08;33,34;"09/10/20 17:36";CET;233290;7807833,23
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;50,85;51,27;49,625;50,50;"09/10/20 17:38";CET;1594026;80060024,805
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;10,74;10,96;10,56;10,70;"09/10/20 17:35";CET;136120;1453794,38
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47,70;47,70;47,70;47,70;"24/01/17 11:30";CET;500;23850,00
"ABBEY PLC";IE0000020408;DOY;"Euronext Growth Dublin";EUR;16,50;17,30;16,50;17,30;"08/10/20 20:50";IST;702;11674,60
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7,27;7,30;7,21;7,28;"09/10/20 17:35";CET;39119;284266,26
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;7,00;7,00;6,90;6,92;"09/10/20 17:07";CET;6336;44017,16
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;0,796;0,829;0,776;0,789;"09/10/20 17:20";CET;126831;102706,038
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;20,20;21,40;19,88;20,90;"09/10/20 17:35";CET;32865;678982,11
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;7,814;7,892;7,64;7,68;"09/10/20 17:35";CET;4686117;36186406,34
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels";EUR;2,60;2,70;2,60;2,70;"09/10/20 17:29";CET;4004;10430,50
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;2,24;2,24;2,20;2,205;"09/10/20 17:35";CET;128076;284025,31
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0,426;0,426;0,426;0,426;"09/10/20 09:00";CET;6;2,556
"ACCELL GROUP";NL0009767532;ACCEL;"Euronext Amsterdam";EUR;25,00;25,00;24,65;24,85;"09/10/20 17:35";CET;18766;465599,35
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0,0495;0,0495;0,0495;0,0495;"09/10/20 16:28";CET;15000;742,50
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;24,96;25,46;24,84;25,16;"09/10/20 17:35";CET;585232;14742081,25
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;1,025;1,03;1,01;1,025;"09/10/20 17:35";CET;83878;85799,63
ACVLHO;BE0010012210;-;"Euronext Expert Market";EUR;4500,01;4500,01;4500,01;4500,01;"07/07/15 11:30";CET;3;13500,03
ACHETER-LOUER.FR;FR0010493510;ALALO;"Euronext Growth Paris";EUR;0,0188;0,019;0,018;0,0181;"09/10/20 17:24";CET;2217360;41174,2696
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;114,40;115,60;114,20;114,40;"09/10/20 17:35";CET;11775;1350718,30
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1,345;1,345;1,30;1,345;"09/10/20 17:00";CET;2793;3693,095
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;2,21;2,27;2,21;2,25;"09/10/20 16:52";CET;10071;22680,355
"ACTIPLAY (GROUPE)";FR0011038348;ALACT;"Euronext Growth Paris";EUR;0,65;0,65;0,594;0,594;"09/10/20 17:35";CET;32787;20259,422
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1,52;1,52;1,52;1,52;"09/10/20 16:30";CET;621;943,92
ADA;FR0000053076;ALADA;"Euronext Growth Paris";EUR;7,80;7,80;7,75;7,75;"09/10/20 10:42";CET;101;782,80
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0,083;0,083;0,083;0,083;"28/09/20 16:30";CET;3739;310,34
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;2,75;3,01;2,67;2,91;"09/10/20 17:26";CET;29474;85328,80
"ADL PARTNER";FR0000062978;ALP;"Euronext Paris";EUR;11,90;12,15;11,60;11,95;"09/10/20 17:00";CET;4255;50777,05
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;7,36;7,47;7,36;7,47;"09/10/20 17:29";CET;1854;13728,24
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0,406;0,416;0,388;0,395;"09/10/20 17:35";CET;122667;48694,346
ADP;FR0010340141;ADP;"Euronext Paris";EUR;87,35;89,30;86,45;86,45;"09/10/20 17:35";CET;60836;5296791,30
ADTHINK;FR0010457531;ALADM;"Euronext Growth Paris";EUR;1,155;1,245;1,10;1,24;"09/10/20 17:35";CET;118910;137780,335
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1,345;1,35;1,325;1,33;"09/10/20 17:35";CET;1510;2017,835
ADVENIS;FR0004152874;ADV;"Euronext Paris";EUR;1,80;1,82;1,80;1,81;"08/10/20 17:10";CET;13056;23525,13
ADVICENNE;FR0013296746;ADVIC;"Euronext Paris, Brussels";EUR;6,50;6,60;6,46;6,60;"09/10/20 17:35";CET;1171;7638,00
ADVINI;FR0000053043;ADVI;"Euronext Paris";EUR;21,20;21,20;20,80;20,80;"09/10/20 12:57";CET;21;437,20
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;1670,00;1703,50;1652,50;1703,50;"09/10/20 17:39";CET;95733;159701371,00
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;100,40;100,80;99,50;100,00;"09/10/20 17:35";CET;32904;3291527,00
AEGON;NL0000303709;AGN;"Euronext Amsterdam";EUR;2,599;2,628;2,577;2,612;"09/10/20 17:35";CET;20107679;52469758,027
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;11,50;11,50;11,50;11,50;"09/10/20 09:00";CET;1;11,50
AG3I;FR0011908045;MLAGI;"Euronext Access Paris";EUR;3,46;3,46;3,46;3,46;"08/11/19 16:30";CET;2;6,92
AGEAS;BE0974264930;AGS;"Euronext Brussels";EUR;36,44;36,69;36,05;36,18;"09/10/20 17:35";CET;190999;6927355,66
"AGENCE MARIT MINNE";BE0024915838;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-
AGFA-GEVAERT;BE0003755692;AGFB;"Euronext Brussels";EUR;3,55;3,635;3,55;3,555;"09/10/20 17:35";CET;247704;889620,745
"AGP MALAGA SOCIMI";ES0105478004;MLAGP;"Euronext Access Paris";EUR;2,95;2,95;2,95;2,95;"04/09/20 16:30";CET;1000;2950,00
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;9,15;9,30;9,11;9,23;"09/10/20 17:35";CET;11140;102207,95
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0,084;0,085;0,0802;0,0848;"09/10/20 16:37";CET;109100;9154,1566
"AGUAS DA CURIA";PTCUR0AP0000;CUR;"Euronext Access Lisbon";EUR;1,17;1,17;1,17;1,17;"06/09/17 20:30";BST;32;37,44
"AIB GROUP PLC";IE00BF0L3536;A5G;"Euronext Dublin";EUR;0,95;0,9875;0,935;0,9775;"09/10/20 21:02";IST;9809259;9360775,2255
"AIR FRANCE -KLM";FR0000031122;AF;"Euronext Paris, Amsterdam";EUR;3,285;3,342;3,13;3,195;"09/10/20 17:36";CET;5046179;16203080,581
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;133,45;133,90;132,65;133,55;"09/10/20 17:35";CET;595740;78889217,15
"AIR MARINE";FR0013285103;MLAIM;"Euronext Access Paris";EUR;1,25;1,25;1,25;1,25;"09/10/20 16:30";CET;100;125,00
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;66,92;67,83;66,42;66,78;"09/10/20 17:35";CET;2064860;137978814,88
AJAX;NL0000018034;AJAX;"Euronext Amsterdam";EUR;16,50;16,50;15,56;16,10;"09/10/20 17:35";CET;3162;50804,58
"AKKA TECHNOLOGIES";FR0004180537;AKA;"Euronext Paris, Brussels";EUR;21,20;22,05;21,20;21,70;"09/10/20 17:36";CET;114653;2488584,80
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;17,26;17,26;16,92;17,22;"09/10/20 17:35";CET;7320;124676,76
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;90,72;91,44;90,30;90,58;"09/10/20 17:39";CET;372195;33743870,14
ALBIOMA;FR0000060402;ABIO;"Euronext Paris";EUR;46,40;46,80;45,65;45,75;"09/10/20 17:35";CET;30960;1423586,80
ALD;FR0013258662;ALD;"Euronext Paris";EUR;8,93;9,00;8,85;8,85;"09/10/20 17:35";CET;55717;496317,90
"ALES GROUPE";FR0000054652;ALPHY;"Euronext Growth Paris";EUR;1,18;1,20;1,18;1,18;"29/06/20 16:07";CET;1401;1671,18
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;58,60;62,00;58,20;61,60;"09/10/20 17:35";CET;213401;12964754,00
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;16,80;16,80;16,80;16,80;"06/10/20 11:30";CET;8533;143354,40
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;16,00;16,00;15,90;15,96;"09/10/20 17:35";CET;3502;55877,22
"ALPHA MOS";FR0013421286;ALM;"Euronext Paris";EUR;1,20;1,20;1,18;1,18;"09/10/20 15:10";CET;324;382,34
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;40,71;41,33;40,69;40,74;"09/10/20 17:38";CET;844294;34600847,855
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;18,25;18,738;18,25;18,738;"09/10/20 15:09";CET;946;17513,324
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;116,00;116,20;113,80;113,80;"09/10/20 17:35";CET;3656;418324,80
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;486,00;486,00;486,00;486,00;"09/10/20 11:30";CET;1;486,00
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;85,40;85,75;84,80;85,60;"09/10/20 17:35";CET;75232;6421588,80
"ALTICE EUROPE N.V.";NL0011333752;ATC;"Euronext Amsterdam";EUR;4,17;4,232;4,169;4,232;"09/10/20 17:37";CET;2094906;8810610,871
"ALTICE EUROPE B";NL0011333760;ATCB;"Euronext Amsterdam";EUR;4,14;4,215;4,14;4,195;"09/10/20 17:35";CET;36266;151805,47
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;3,92;3,92;3,848;3,85;"09/10/20 21:35";BST;184713;716000,152
"ALTUR INVEST.";FR0010395681;ALTUR;"Euronext Paris";EUR;4,62;4,62;4,48;4,48;"09/10/20 16:22";CET;933;4222,22
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;0,399;0,399;0,399;0,399;"09/10/20 11:46";CET;2200;877,80
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0,23;0,23;0,23;0,23;"18/05/20 16:30";CET;100;23,00
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0,052;0,06;0,052;0,06;"09/10/20 16:30";CET;480582;25137,712
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;15,455;16,05;15,40;15,72;"09/10/20 17:39";CET;254181;3998314,505
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;2,02;2,07;1,832;1,85;"09/10/20 17:35";CET;587432;1111212,596
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;2,12;2,13;2,12;2,12;"09/10/20 16:30";CET;2336;4957,62
"AMSTERDAM COMMOD.";NL0000313286;ACOMO;"Euronext Amsterdam";EUR;18,76;18,92;18,56;18,70;"09/10/20 17:35";CET;1942;36364,84
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;63,60;65,05;63,10;63,20;"09/10/20 17:35";CET;152648;9717251,65
"AND INTERNATIONAL";NL0000430106;AND;"Euronext Amsterdam";EUR;1,38;1,505;1,38;1,495;"09/10/20 16:51";CET;8701;12259,655
ANEVIA;FR0011910652;ALANV;"Euronext Growth Paris";EUR;3,49;3,49;3,49;3,49;"09/10/20 09:00";CET;5;17,45
