"Date","SP500","EUSTOXX50"
"2015-12-01",2043.939941,3286.679932
"2016-01-01",1940.23999,3045.090088
"2016-02-01",1932.22998,2945.75
"2016-03-01",2059.73999,3004.929932
"2016-04-01",2065.300049,3028.209961
"2016-05-01",2096.949951,3063.47998
"2016-06-01",2098.860107,2864.73999
"2016-07-01",2173.600098,2990.76001
"2016-08-01",2170.949951,3010.360107
"2016-09-01",2168.27002,3002.23999
"2016-10-01",2126.149902,3055.25
"2016-11-01",2198.810059,3051.610107
"2016-12-01",2238.830078,3197.540039
"2017-01-01",2278.870117,3230.679932
"2017-02-01",2363.639893,3319.610107
"2017-03-01",2362.719971,3500.929932
"2017-04-01",2384.199951,3559.590088
"2017-05-01",2411.800049,3554.590088
"2017-06-01",2423.409912,3441.879883
"2017-07-01",2470.300049,3449.360107
"2017-08-01",2471.649902,3421.469971
"2017-09-01",2519.360107,3594.850098
"2017-10-01",2575.26001,3673.949951
"2017-11-01",2584.840088,3569.929932
"2017-12-01",2673.610107,3503.959961
"2018-01-01",2823.810059,3609.290039
"2018-02-01",2713.830078,3438.959961
"2018-03-01",2640.870117,3361.5
"2018-04-01",2648.050049,3536.52002
"2018-05-01",2705.27002,3406.649902
"2018-06-01",2718.370117,3395.600098
"2018-07-01",2816.290039,3525.48999
"2018-08-01",2901.52002,3392.899902
"2018-09-01",2913.97998,3399.199951
"2018-10-01",2711.73999,3197.51001
"2018-11-01",2760.169922,3173.129883
"2018-12-01",2506.850098,2937.360107
"2019-01-01",2704.100098,3159.429932
"2019-02-01",2784.48999,3298.26001
"2019-03-01",2834.399902,3351.709961
"2019-04-01",2945.830078,3514.620117
"2019-05-01",2752.060059,3280.429932
"2019-06-01",2941.76001,3473.689941
"2019-07-01",2980.379883,3466.850098
"2019-08-01",2926.459961,3426.76001
"2019-09-01",2976.73999,3569.449951
"2019-10-01",3037.560059,3604.409912
"2019-11-01",3140.97998,3703.580078
"2019-12-01",3230.780029,3745.149902
"2020-01-01",3225.52002,3640.909912
"2020-02-01",2954.219971,3329.48999
"2020-03-01",2584.590088,2786.899902
"2020-04-01",2912.429932,2927.929932
"2020-05-01",3044.310059,3050.199951
"2020-06-01",3100.290039,3234.070068
"2020-07-01",3271.120117,3174.320068
"2020-08-01",3500.310059,3272.51001
"2020-09-01",3363,3193.610107
"2020-10-01",3269.959961,2958.209961
"2020-11-01",3577.590088,3463.040039
