Ticker;Signal;Final_rank;Quality;Momentum;PER;MCap;ROA;FCF2EV;FCF2D;MomentumValue
PAY.BR;BUY;837;837;715;15.3081507142;46018532.9600859;0.10104;11.6341499349;0.91;1.4254306418
ALDNX.PA;HOLD;834;831;711;14.155653955;NA;0.08287;8.7421643791;0.2361033425;1.3787784455
ALFOC.PA;HOLD;831;855;667;22.8806578083;NA;0.13518;4.282094026;0.2239462461;0.8526790658
ALMIC.PA;HOLD;827.5;794;709;36.7142868042;69054822.6499863;0.053000003;8.4658045443;0.8182504634;1.3410137074
DIGIA.HE;HOLD;825;767;734;24.4951139444;118759953.138781;0.062179998;10.3718936831;1.4420276853;2.4402613717
ORDI.AS;BUY;824;806;693;13.9563106796;223990485.25;0.06856;8.4107746156;1.110960612;1.071294144
ALNOV.PA;HOLD;821;715.5;763;16.7449656749;653443992.967762;0.49168998;55.2123146534;0.1623740402;12.7254907199
ALREW.PA;BUY;819;827;645;6.5075921909;134031453;0.08392999;3.2996084904;1.7130592271;0.7135135327
ALPDX.PA;HOLD;818;804;666;13.7179484734;NA;0.11517999;12.5534784713;1.2409794882;0.8470637154
UNIAV.HE;HOLD;814;771;687;19.6923079857;NA;0.14066;23.3096182998;0.4895868897;1.0197338647
VBK.DE;HOLD;813;697.5;751;31.8945760122;245281083;0.14297;41.999114097;0.7701345306;3.4824418935
ASM.AS;HOLD;811;709;737;33.5397803634;9523559516.78827;0.10735;47.0232208286;0.0706335225;2.5854085838
SCANFL.HE;BUY;806;795;634;9.4485844301;106007959.871346;0.07611;11.0559729615;1.1687345034;0.6826574591
GTT.PA;SELL;805;800.5;626;13.8883775144;1649704682.18527;0.38147998;22.7608034523;0.0568220698;0.6355637722
WUF1V.HE;HOLD;803;707;710;11.5328470286;5227009.861974;0.056199998;9.6706606138;3.0807434136;1.3538773894
CBAV.MC;HOLD;802;764;652;15.0318473767;19518179.7154913;0.10139;11.7523117831;2.9281238176;0.7513355707
EQV1V.HE;BUY;800;730.5;677;30.5555555556;136312786.5;0.23155001;43.4943357417;0.1524371629;0.9354014319
DQ7A.IR;HOLD;799;759;648;25.646122502;27367207.2907162;0.029949998;1.7891500561;0.1144507252;0.7307691884
SAA1V.HE;HOLD;798;808;596;15.2362586217;673979328.336162;0.09237;10.2663205069;1.4683887872;0.5122826887
VETO.PA;BUY;797;790;613;33.2818521036;334444954.55957;0.06604;13.9216023511;0.1481072968;0.5811841776
BELU.BR;SELL;795;686;712;1.3200000127;NA;0.23527001;99;0.18378451;1.38203644
HOLCO.AS;HOLD;793;847;539;12.5395267692;35273260;0.10729;7.1471631467;0.1307752301;0.3371825912
ALNSE.PA;HOLD;792;822;563;8.7360597159;NA;0.05998;3.9073829637;0.8811158043;0.394557893
SPEL.PA;BUY;790.5;752;622;4.545454425;17931037.9249897;0.03429;1.7491982332;1.0825097006;0.6089109063
UPR.IR;BUY;790.5;673;701;26.0204076767;540054603.551251;0.03979;9.3290052257;2.0382823769;1.1906703912
