"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"HONBS.HE","Honkarakenne Oyj B","Finland","Consumer Cyclical","Residential Construction",7.8600001335144,3.60283470153809,3.55401587486267,8.03999996185303,21939.6166666667,5.39036097725232,2562823,42979068,0.48,4446000,0.06355,0.20727,1127125,18007000,32630000,14623000,7049000,3036500,-791000,2245500,1057500,15210500,20143789.1221738,5.93018277622263,0.06355,0.0522463632761883,16.375000278155,2.18161552906074,"HOLD",798,97.6744186046512,796,97.4296205630355,816.5,100
"ALMGI.PA","MG INTERNATIONAL","France","Industrials","Security & Protection Services",8.75,4.46000003814697,3.5,8.80000019073486,2892.17741935484,5.34870970441449,1391664,48442524,0.925,6136367,0.11363,0.30326,5968608,16351107,34476476,18125369,10358635,5160000,-216500,4943500,341484,9302072,12177060,3.16881918604651,0.11363,0.102048770208588,9.45945945945946,1.9618833912915,"HOLD",817,100,777,95.1040391676867,816.5,100
"AKW.PA","AKWEL","France","Consumer Cyclical","Auto Parts",32.75,16.1599998474121,15.4399995803833,32.75,18320.3387096774,23.8800806230114,8096159,840543616,3.2,132570000,0.06728,0.16427,74609000,353352000,894495000,539634000,175119000,46748000,-7829000,38919000,32664000,275083500,265149207.25,7.55865491571832,0.06728,0.0463021778515298,10.234375,2.02660893002698,"HOLD",792,96.9400244798042,786,96.2056303549572,815,99.8162890385793
"SAF1R.RG","SAF Tehnika","Latvia","Technology","Communication Equipment",7.01999998092651,3.63512396812439,3.63512396812439,7.01999998092651,1470.23140495868,5.2321057201417,1241769,14989416,0.386,1473913,0.04413,0.11132,2694512,6256701,16675446,10418745,5917504,2210112,-209004,2001108,766142,6707178,8717218.35631514,2.83094295673703,0.04413,0.133501398586843,18.1865284479961,1.93115834356225,"HOLD",795,97.3072215422277,769,94.124847001224,814,99.6938150642988
"DLG.DE","DIALOG SEMICONDUCTOR PLC   LS-,10","United Kingdom","Technology","Semiconductors",65.2600021362305,32.7799987792969,32.7799987792969,65.6800003051758,469820.887096774,53.2046772741502,62224110,3924664320,0.968,250060992,0.057979997,0.05237,165615632,466990000,2121518000,1654528000,523880000,130847000,-4590000,126257000,57809000,438729000,4060745551.52504,3.56897750808196,0.057979997,0.032170139840138,67.4173575787505,1.99084821740284,"HOLD",774,94.7368421052632,781,95.593635250918,813,99.5713410900184
"MRK1T.TL","Merko Ehitus","Estonia","Industrials","Engineering & Construction",16.0599994659424,8.88000011444092,8.88000011444092,16.0799999237061,8818.90163934426,11.4548360246127,3894708,266860992,1.299,25138000,0.05503,0.15413,55055752,99480000,256915000,153228000,47480000,45529000,-1839000,43690000,9923000,106438000,62549008.4000015,2.18498100112017,0.05503,0.163718195276738,12.3633560168917,1.80855847510915,"HOLD",806,98.6536107711138,744,91.0648714810281,812,99.4488671157379
"PSM.DE","ProSiebenSat.1 Media","Germany","Communication Services","Broadcasting",18.2399997711182,9.57999992370605,9.57999992370605,18.3250007629395,1266163.39516129,15.1988387107849,189984225,6579715072,1.18,7.93e+08,0.05046,0.16941,273124992,5.394e+09,7.081e+09,1.333e+09,1.224e+09,6.87e+08,-8.5e+07,6.02e+08,2.15e+08,1.492e+09,3465312220.51606,7.85152838427948,0.05046,0.0914933235577044,15.4576269246764,1.90396658834857,"HOLD",779,95.3488372093023,766,93.7576499388005,811,99.3263931414574
"YOC.DE","YOC AG O.N.","Germany","Communication Services","Advertising Agencies",9.05000019073486,4.57999992370605,4.40000009536743,9.60000038146973,5720.16935483871,7.66483872167526,1947052,41391320,0.09,1879649,0.103549995,0,550566,11214862,7200055,-4014807,870608,961342,-9826,951516,375372,5887181,17620820.9713707,11.6658400444379,0.103549995,0.0229882980296352,100.555557674832,1.97598260731231,"HOLD",758,92.7784577723378,780,95.4712362301102,810,99.203919167177
"HLAG.DE","HAPAG-LLOYD AG NA O.N.","Germany","Industrials","Marine Shipping",149.5,53.5999984741211,53.5999984741211,149.899993896484,36520.4274193548,103.586290021097,6327371,30500399104,5.272,2132600064,0.05487,0.14021,1484215552,8461600000,15184300000,6707200000,681300000,970900000,-213300000,757600000,397200000,3410500000,945941964.5,8.71521268925739,0.05487,0.0248390192343629,28.3573596358118,2.78917918387966,"HOLD",726,88.8616891064871,809,99.0208078335373,809,99.0814451928965
"HARVIA.HE","Harvia Oyj","Finland","Consumer Cyclical","Personal Services",42.6500015258789,18.4799995422363,18.4799995422363,42.6500015258789,52070.675,26.4372377077738,13146797,813613824,0.82,27672000,0.10572,0.23167999,19666376,96766000,165625000,66436000,27321000,10734000,-848000,9886000,5843000,35249000,560710912.11042,9.01490590646544,0.10572,0.0121507276651189,52.0121969827792,2.30790057263809,"HOLD",731,89.4736842105263,801,98.0416156670747,808,98.958971218616
