"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"CDI.PA","CHRISTIAN DIOR","France","Consumer Cyclical","Luxury Goods",689.5,432.847900390625,428.080413818359,697.5,7370.416,532.627924316406,159760785,165783273472,10.703,10177000448,0.052020002,0.13813,7832500224,6.9773e+10,1.06017e+11,1.127e+10,2.0358e+10,5016500000,-726500000,4.29e+09,865500000,1.3129e+10,110155061257.5,13.908701285757,0.052020002,0.0258771582328814,64.4211903204709,1.59293830321866,"HOLD",210.5,95.2488687782805,218,98.6425339366516,221,100
"ASM.AS","ASM INTERNATIONAL","Netherlands","Technology","Semiconductor Equipment & Materials",260.100006103516,172.54150390625,172.54150390625,273,354962.576,232.065342651367,45612567,12484327424,6.775,430851008,0.10018,0.17117001,123852128,383912000,2376615000,1992703000,497870000,115618000,-9444000,106174000,122473000,394015000,11863828955.097,3.3205210261378,0.10018,0.00850458309799613,38.391144812327,1.50746342308944,"HOLD",214,96.8325791855204,213,96.3800904977376,220,99.5475113122172
"VALMT.HE","Valmet Oyj","Finland","Industrials","Specialty Industrial Machinery",36.7799987792969,22.7559852600098,22.7559852600098,37.2000007629395,416133.297520661,30.8958171182428,132164337,5466250752,1.72,4.37e+08,0.060370002,0.24701001,483716992,2.943e+09,4.022e+09,1.073e+09,3.85e+08,1.48e+08,-2.4e+07,1.24e+08,5.7e+07,8.58e+08,4861004153.52658,19.8851351351351,0.060370002,0.0226846527219101,21.3837202205214,1.61627801912547,"HOLD",193,87.3303167420815,220,99.5475113122172,219,99.0950226244344
"DPW.DE","Deutsche Post","Germany","Industrials","Integrated Freight & Logistics",57.3600006103516,39.6233673095703,39.0683097839355,58.5299987792969,2847916.088,46.8643364868164,983378343,84211941376,3.055,6154999808,0.052449998,0.22311,3249125120,4.1229e+10,5.5307e+10,1.3777e+10,4.482e+09,2.918e+09,-1.259e+09,1.659e+09,1.19e+09,1.886e+10,56406582354.6865,14.1291980808773,0.052449998,0.0197002939594124,18.775777613863,1.44763064083393,"HOLD",200.5,90.7239819004525,204,92.3076923076923,218,98.6425339366516
"IPN.PA","Ipsen","France","Healthcare","Drug Manufacturers—Specialty & Generic",89.1999969482422,68.0462417602539,65.5754241943359,92.3000030517578,131414.016,74.9302529907226,34909030,8013280256,6.566,907400000,0.10679,0.28136,577162496,2195400000,4317200000,2119100000,642500000,238850000,-23300000,215550000,163050000,689650000,3113885369.46609,9.19154280929454,0.10679,0.0268990966388085,13.5851350819741,1.31087323327156,"HOLD",221,100,179,80.9954751131222,217,98.1900452488688
"RMS.PA","Hermès","France","Consumer Cyclical","Luxury Goods",1213,852.184936523438,838.844604492188,1213,47860.904,982.077307617187,33909013,125315506176,13.21,2306700032,0.12157,0.19896999,1041875008,3659500000,11050500000,7380100000,4732700000,666450000,-107050000,559400000,525200000,1950700000,41131632769,5.49103458624053,0.12157,0.00446393281302593,91.8243754731264,1.42339995464897,"HOLD",194.5,88.0090497737556,202,91.4027149321267,216,97.737556561086
"SGO.PA","Saint-Gobain","France","Industrials","Building Products & Equipment",55.4900016784668,36.7709579467773,36.5168914794922,57.7000007629395,1256445.584,47.4981901550293,481694449,37460094976,0.85,4084999936,0.035639998,0.02575,3774000128,3.0423e+10,4.8626e+10,1.7892e+10,8.443e+09,1.973e+09,-353500000,1619500000,4.45e+08,1.0182e+10,26729225783.5181,15.4196654840345,0.035639998,0.043232672021723,65.2823549158433,1.50907141877521,"HOLD",181.5,82.1266968325792,214,96.8325791855204,215,97.2850678733032
"ERF.PA","EUROFINS SCIENT.","Luxembourg","Healthcare","Diagnostics & Research",92.379997253418,69.3399963378906,68.629997253418,92.379997253418,319058.488,80.6713599243164,127232820,20451057664,2.58,1.274e+09,0.06894,0.1634,793075008,4859100000,8575500000,3690300000,912400000,389250000,-98900000,290350000,222350000,1557700000,11753767562.1446,12.4832369942197,0.06894,0.0141973097318631,35.8062004858209,1.33227577346925,"HOLD",210.5,95.2488687782805,184,83.2579185520362,214,96.8325791855204
"OR.PA","L'Oréal","France","Consumer Defensive","Household & Personal Products",390.299987792969,298.277893066406,286.714447021484,391.399993896484,372703.28,327.367744628906,234574995,211914211328,6.34,6565600256,0.07429,0.12213001,5102112256,14608100000,43606900000,2.8993e+10,6405900000,2336950000,-233800000,2103150000,870450000,7457800000,91554617685.0357,6.25092535141959,0.07429,0.00992453496544766,61.5615122701843,1.30851128047252,"HOLD",212,95.9276018099548,176,79.6380090497738,213,96.3800904977376
"HFG.DE","HELLOFRESH SE  INH O.N.","Germany","Consumer Cyclical","Restaurants",81.9800033569336,63.75,55.75,83.7799987792969,744204.208,70.1096800231934,160814360,13212659712,2.386,534500000,0.2641,0.84600997,516500000,1006700000,1736500000,730200000,876300000,208700000,-27200000,181500000,101600000,1442900000,13183561772.6431,4.82367034020125,0.2641,0.0137368254353178,34.3587608369378,1.28596083697151,"HOLD",219,99.0950226244344,167,75.5656108597285,212,95.9276018099548
"MC.PA","LVMH","France","Consumer Cyclical","Luxury Goods",681.099975585938,489.148773193359,487.906768798828,687.299987792969,371981.016,572.160370849609,272093699,357646270464,9.32,10151999488,0.0505,0.12838,7859500032,6.9842e+10,1.08671e+11,3.7412e+10,1.9963e+10,5023500000,-284500000,4.739e+09,2.09e+09,1.3129e+10,185323011745.987,13.9030556384991,0.0505,0.0132505226291099,73.0793965220963,1.39241885682232,"HOLD",186.5,84.3891402714932,198,89.5927601809955,211,95.4751131221719
