"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"DLG.DE","DIALOG SEMICONDUCTOR PLC   LS-,10","United Kingdom","Technology","Semiconductors",65.2600021362305,32.7799987792969,32.7799987792969,65.6800003051758,469820.887096774,53.2046772741502,62224110,3924664320,0.968,250060992,0.057979997,0.05237,165615632,466990000,2121518000,1654528000,523880000,130847000,-4590000,126257000,57809000,438729000,4060745551.52504,3.56897750808196,0.057979997,0.032170139840138,67.4173575787505,1.99084821740284,"HOLD",205,98.5576923076923,206,99.0384615384615,208,100
"PSM.DE","ProSiebenSat.1 Media","Germany","Communication Services","Broadcasting",18.2399997711182,9.57999992370605,9.57999992370605,18.3250007629395,1266163.39516129,15.1988387107849,189984225,6579715072,1.18,7.93e+08,0.05046,0.16941,273124992,5.394e+09,7.081e+09,1.333e+09,1.224e+09,6.87e+08,-8.5e+07,6.02e+08,2.15e+08,1.492e+09,3465312220.51606,7.85152838427948,0.05046,0.0914933235577044,15.4576269246764,1.90396658834857,"HOLD",203,97.5961538461538,202,97.1153846153846,207,99.5192307692308
"ASM.AS","ASM INTERNATIONAL","Netherlands","Technology","Semiconductor Equipment & Materials",248.300003051758,127,117.300003051758,269.5,367145.411290323,195.623386690694,45613053,12013343744,6.775,430851008,0.10018,0.17117001,123852128,383912000,2376615000,1992703000,497870000,115618000,-9444000,106174000,122473000,394015000,11325721199.1,3.3205210261378,0.10018,0.008838005659584,36.6494469449089,1.95511813426581,"HOLD",194,93.2692307692308,204,98.0769230769231,206,99.0384615384615
"BESI.AS","BE SEMICONDUCTOR","Netherlands","Technology","Semiconductor Equipment & Materials",71.9599990844727,38.810001373291,34.6399993896484,78.0599975585938,423771.677419355,54.6102420130084,71139718,5121503744,1.67,155628000,0.11648,0.39501,95293128,540129000,911356000,371227000,375406000,51697000,-1326000,50371000,44646000,109674000,5119214042.14964,10.4479757045863,0.11648,0.00983519734004123,43.0898198110615,1.85416120943493,"HOLD",189,90.8653846153846,200,96.1538461538462,205,98.5576923076923
"HFG.DE","HELLOFRESH SE  INH O.N.","Germany","Consumer Cyclical","Restaurants",70.5400009155273,45.9199981689453,41.6800003051758,76.6999969482422,1047347.41129032,61.8068548633206,157376882,11980673024,2.094,444300000,0.25366,0.81904,420462496,869600000,1525600000,656400000,7.29e+08,185400000,-41200000,144200000,138800000,1108500000,11101365400.3628,4.69039913700108,0.25366,0.0120360517068728,33.6867244104715,1.53614990697521,"HOLD",202,97.1153846153846,178,85.5769230769231,204,98.0769230769231
"VALMT.HE","Valmet Oyj","Finland","Industrials","Specialty Industrial Machinery",34.8499984741211,20.3687896728516,20.3687896728516,36.7599983215332,490220.191666667,26.1313164710999,132059706,5328735744,1.72,4.37e+08,0.060370002,0.24701001,483716992,2.943e+09,4.022e+09,1.073e+09,3.85e+08,1.48e+08,-2.4e+07,1.24e+08,5.7e+07,8.58e+08,4602280552.59288,19.8851351351351,0.060370002,0.0232700599086041,20.2616270198378,1.71095087306885,"HOLD",169.5,81.4903846153846,193,92.7884615384615,203,97.5961538461538
"CDI.PA","CHRISTIAN DIOR","France","Consumer Cyclical","Luxury Goods",586.5,389.3046875,359.054016113281,586.99658203125,6651.75806451613,454.06577965521,159760785,150718988288,10.703,10177000448,0.052020002,0.13813,7832500224,6.9773e+10,1.06017e+11,1.127e+10,2.0358e+10,5016500000,-726500000,4.29e+09,865500000,1.3129e+10,93699700402.5,13.908701285757,0.052020002,0.0284635668586263,54.7977202653462,1.50653207842508,"HOLD",188,90.3846153846154,174,83.6538461538462,202,97.1153846153846
"MONC.MI","Moncler","Italy","Consumer Cyclical","Apparel Manufacturing",51,34.5933837890625,33.8301467895508,53.5,810409.10483871,47.075263853996,194956521,12660744192,1.18,438081984,0.086619996,0.20478001,308259744,1129475000,2756612000,1627048000,923498000,184122500,-27486500,156636000,165991500,518537500,9942782571,6.13436706540483,0.086619996,0.0123717845984894,43.2203389830509,1.47427034923727,"BUY",195,93.75,166,79.8076923076923,201,96.6346153846154
"PUB.PA","Publicis","France","Communication Services","Advertising Agencies",54.1199989318848,31.9500007629395,29.2199993133545,55.3199996948242,925172.411290323,43.6439515544522,216926590,16152548352,2.38,1859000064,0.02915,0.07848,2354874880,2.3001e+10,3.0161e+10,7.182e+09,3.7e+09,1467500000,-4.2e+07,1425500000,2.2e+08,2.755e+09,11740066819.0974,15.673594548552,0.02915,0.0882523282973795,22.7394953495314,1.69389663973534,"HOLD",159.5,76.6826923076923,191,91.8269230769231,200,96.1538461538462
"WIE.VI","Wienerberger AG","Austria","Basic Materials","Building Materials",32.8800010681152,22.5799999237061,22.5799999237061,33.1599998474121,217822.56557377,28.083770501809,111916667,4627348992,0.786,493846016,0.04383,0.05224,295974624,2578030000,4327015000,1748300000,666148000,236899000,-101528000,135371000,47908000,807773000,3679820130.4999,10.8824013609175,0.04383,0.0292545473086288,41.8320624276275,1.45615594239199,"HOLD",182,87.5,161,77.4038461538462,199,95.6730769230769
"SGO.PA","Saint-Gobain","France","Industrials","Building Products & Equipment",53.0800018310547,35.4900016784668,31.6800003051758,53.2200012207031,1447848.70967742,42.573951659664,481190918,35414163456,0.85,4084999936,0.035639998,0.02575,3774000128,3.0423e+10,4.8626e+10,1.7892e+10,8.443e+09,1.973e+09,-353500000,1619500000,4.45e+08,1.0182e+10,25541614808.5269,15.4196654840345,0.035639998,0.045730290989709,62.4470609777114,1.49563255341463,"HOLD",168,80.7692307692308,172,82.6923076923077,198,95.1923076923077
"AALB.AS","Aalberts","Netherlands","Industrials","Specialty Industrial Machinery",44.8800010681152,31.6100006103516,28.8400001525879,45.6800003051758,214886.540322581,38.4382256538637,105522168,5689169920,1.06,357100000,0.03874,0.06866,269950016,1448900000,3255200000,1774100000,55800000,168600000,-20300000,148300000,26750000,661650000,4735835012.54984,8.59371293001186,0.03874,0.0260670716616599,42.3396236491653,1.41980386591382,"HOLD",180,86.5384615384615,155,74.5192307692308,197,94.7115384615385
"BNR.DE","Brenntag AG","Germany","Basic Materials","Specialty Chemicals",74.9400024414062,54.8800010681152,54.8800010681152,76.7600021362305,324211.774193548,66.648387170607,154500000,13101219840,3.019,872099968,0.052550003,0.13178,1035774976,4531900000,8143500000,3549700000,726300000,329500000,-68100000,261400000,111600000,2876200000,11578230377.1973,13.7538694992413,0.052550003,0.019952340560068,24.8227898116616,1.36552479925052,"HOLD",181,87.0192307692308,145,69.7115384615385,196,94.2307692307692
"TELIA1.HE","Telia Company","Sweden","Communication Services","Telecom Services",3.46050000190735,2.02960085868835,2.0218288898468,3.60750007629395,1566807.36666667,2.60341108242671,2474431661,14174663680,0.13,0,0.026029998,-0.27984,0,1.60019e+11,2.30605e+11,6.943e+10,8.623e+09,7.54e+09,-3.691e+09,3.849e+09,9.65e+08,2.1814e+10,8562770767.6101,21.2226790450928,0.026029998,0.271540834187891,26.6192307839027,1.70501504623117,"HOLD",132.5,63.7019230769231,192,92.3076923076923,195,93.75
"MC.PA","LVMH","France","Consumer Cyclical","Luxury Goods",620.900024414062,422.707550048828,397.920928955078,625.967346191406,439460.814516129,511.144962679955,272108816,337288888320,9.32,10151999488,0.0505,0.12838,7859500032,6.9842e+10,1.08671e+11,3.7412e+10,1.9963e+10,5023500000,-284500000,4.739e+09,2.09e+09,1.3129e+10,168952370497.682,13.9030556384991,0.0505,0.0140502701515145,66.6201742933543,1.46886428771462,"HOLD",157,75.4807692307692,162,77.8846153846154,193.5,93.0288461538462
"SAP.DE","SAP","Germany","Technology","Software—Application",118.040000915527,91.4899978637695,90.1800003051758,120.699996948242,3134417,105.008790293048,1043202600,146632802304,4.554,7414000128,0.060900003,0.16895,7123624960,3.1659e+10,6.6495e+10,3.3558e+10,1.0332e+10,3.085e+09,-1.53e+08,2.932e+09,1.04e+09,6.348e+09,123139635859.081,10.2622366288493,0.060900003,0.0199955259255113,25.9200704689344,1.29019568992986,"HOLD",196,94.2307692307692,123,59.1346153846154,193.5,93.0288461538462
"1COV.DE","Covestro","Germany","Basic Materials","Specialty Chemicals",55.1399993896484,40.7635536193848,40.7635536193848,61.0915565490723,1077070.82352941,52.5800747590906,187356070,11523905536,2.48,1.228e+09,0.03273,0.08332,151375008,7.28e+09,1.2924e+10,5.607e+09,1.404e+09,6.35e+08,-2.41e+08,3.94e+08,3.12e+08,3.007e+09,10330813585.4469,11.4645669291339,0.03273,0.0341897977876656,22.2338707216324,1.35267891274884,"BUY",173,83.1730769230769,140,67.3076923076923,191.5,92.0673076923077
"STM.MI","STMicroelectronics","Switzerland","Technology","Semiconductors",32.75,25.8672618865967,25.8672618865967,35.5115432739258,3294646.03225806,31.6065941626026,662322047,28088020992,0.993,2265999872,0.063779995,0.1419,526624992,5.948e+09,1.4454e+10,8.448e+09,3.006e+09,9.22e+08,-3.81e+08,5.41e+08,5.81e+08,3.235e+09,21691047039.25,6.45119305856833,0.063779995,0.0192608799371834,32.9808660624371,1.2660791135752,"BUY",199,95.6730769230769,114,54.8076923076923,191.5,92.0673076923077
