Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final;
DPW.DE;Deutsche Post;Germany;Industrials;Integrated Freight & Logistics;58.8899993896;39.7402267456;39.6525840759;59.3699989319;2662599.96825397;49.5702284253;983019247;85796913152;3.055;4.1105e+10;5.8271e+10;1.6791e+10;5.113e+09;2.49e+09;-7.04e+08;1.786e+09;1.19e+09;1.886e+10;57890002855.8427;16.5080321285;0.0204218222;0.0208165997;19.28;1.481873764;HOLD;208;93.69;217.00;97.75;222.00;100.00;
RMS.PA;Hermès;France;Consumer Cyclical;Luxury Goods;1250;864.3305664063;838.8446044922;1269.5;48447.619047619;1038.4369904049;33909013;130911911936;13.21;3659500000;11050500000;7380100000;4732700000;666450000;-107050000;559400000;525200000;1950700000;42386266250;5.4910345862;0.0475272612;0.0042731024;94.6252838759;1.4462059409;HOLD;199;89.6396396396;213;95.9459459459;221;99.5495495495;
ERF.PA;EUROFINS SCIENT.;Luxembourg;Healthcare;Diagnostics & Research;102.0199966431;77.4200057983;73.1205444336;104.1200027466;332037.944444444;84.1410422552;127272887;20922318848;2.58;4859100000;8575500000;3690300000;912400000;389250000;-98900000;290350000;222350000;1557700000;12984379504.4934;12.4832369942;0.0259285173;0.0138775249;39.54;1.3177472101;HOLD;211.5;95.27;190.00;85.59;220.00;99.10;
SOF.BR;Sofina;Belgium;Financial Services;Asset Management;378.3999938965;269.8727722168;263.9306030273;381.6000061035;19920.2619047619;313.7234610906;30671895;12794027008;40.381;192644000;9093055000;8900411000;232354000;18756500;-116500;18640000;794874500;806776000;11606244880.7936;10.2707861275;0.0874155606;0.0014569299;9.37;1.4021421679;HOLD;184;82.88;207.00;93.24;219.00;98.65;
OR.PA;L'Oréal;France;Consumer Defensive;Household & Personal Products;374.6000061035;290.173614502;286.7144470215;391.3999938965;382967.547619048;339.3141266354;234574995;210850447360;6.34;14608100000;43606900000;2.8993e+10;6405900000;2336950000;-233800000;2103150000;870450000;7457800000;87871794558.7321;6.2509253514;0.0199612905;0.0099746053;59.0851744643;1.2909513043;HOLD;207;93.2432432432;182;81.981981982;218;98.1981981982;
MONC.MI;Moncler;Italy;Consumer Cyclical;Apparel Manufacturing;59.9399986267;47.2671585083;45.8124809265;59.9399986267;651013.452380952;52.8483658745;193151766;14940701696;1.18;1129475000;2756612000;1627048000;923498000;184122500;-27486500;156636000;165991500;518537500;11577516588.7864;6.1343670654;0.0602157649;0.0104838449;50.7966090057;1.2681108939;HOLD;218;98.1981981982;170;76.5765765766;216.5;97.5225225225;
SSABAH.HE;SSAB A;Sweden;Basic Materials;Steel;4.6529998779;3.5239999294;3.4909999371;4.8959999084;63659.1967213115;4.2078360554;856647919;4815510016;0.348;3.6787e+10;9.7234e+10;6.0392e+10;8.058e+09;1.526e+09;-3.16e+08;1.21e+09;1.507e+09;1.9661e+10;3985982662.53572;24.1068152031;0.0154986939;0.2512714117;13.37;1.3203745661;HOLD;196;88.29;192.00;86.49;216.50;97.52;
KER.PA;Kering;France;Consumer Cyclical;Luxury Goods;731.799987793;552.1659545898;518.046081543;761.9000244141;178509.380952381;641.6582878961;72748860;99767795712;17.202;15970400000;28005400000;11820900000;3442800000;976200000;-209550000;766650000;938900000;3860950000;53237614859.9524;16.3597623438;0.0335256772;0.0076843434;42.5415642247;1.3253261664;HOLD;191.5;86.2612612613;194;87.3873873874;214.5;96.6216216216;
DIM.PA;SARTORIUS STED BIO;France;Healthcare;Medical Instruments & Supplies;460.299987793;317.7935180664;317.7935180664;460.299987793;64037.119047619;371.1786736382;24202491;42595360768;5.151;1828800000;3521900000;1668500000;254700000;164100000;-51400000;112700000;114500000;655200000;11140406311.8594;11.1444241316;0.0325108606;0.002645828;89.3612867002;1.4484247212;HOLD;171.5;77.2522522523;214;96.3963963964;214.5;96.6216216216;
MC.PA;LVMH;France;Consumer Cyclical;Luxury Goods;654.299987793;504.4502258301;495.1103820801;687.299987793;370713.103174603;597.3300541469;272093699;357545476096;9.32;6.9842e+10;1.08671e+11;3.7412e+10;1.9963e+10;5023500000;-284500000;4.739e+09;2.09e+09;1.3129e+10;178030903934.244;13.9030556385;0.0192323619;0.013254258;70.2038613512;1.297055595;HOLD;197.5;88.963963964;184;82.8828828829;213;95.9459459459;
NEM.DE;Nemetschek;Germany;Technology;Software—Application;74.4599990845;57.8903160095;51.126499176;74.4599990845;178542.373015873;59.4259107681;55930875;8361501184;0.9;485931000;947659000;447084000;177442000;60465000;-1718000;58747000;29446000;158431000;4164612901.29375;8.0365666088;0.0310723583;0.0070258915;82.7333323161;1.2862254729;HOLD;200.5;90.3153153153;179;80.6306306306;211.5;95.2702702703;
SGO.PA;Saint-Gobain;France;Industrials;Building Products & Equipment;57.4199981689;42.2626571655;39.8881340027;58.6899986267;1230978.38095238;50.1836718302;481694449;38869983232;0.85;3.0423e+10;4.8626e+10;1.7892e+10;8.443e+09;1.973e+09;-353500000;1619500000;4.45e+08;1.0182e+10;27658894379.5711;15.419665484;0.0091514827;0.0416645407;67.5529390223;1.3586461908;HOLD;176.5;79.5045045045;203;91.4414414414;211.5;95.2702702703;
VALMT.HE;Valmet Oyj;Finland;Industrials;Specialty Industrial Machinery;36.0499992371;26.0456562042;26.0456562042;37.6800003052;401155.483606557;32.7635524468;132164257;5387005952;1.86;3e+09;4.144e+09;1.138e+09;4.31e+08;1.48e+08;-2.4e+07;1.24e+08;5.7e+07;8.58e+08;4764521364.01667;20.2702702703;0.0137548263;0.0230183521;19.3817200199;1.3841079278;HOLD;173;77.9279279279;206;92.7927927928;210;94.5945945946;
WKL.AS;Wolters Kluwer;Netherlands;Communication Services;Publishing;90.8199996948;68.9940643311;63.142414093;90.8199996948;539491.03968254;75.5728990767;261934872;26943510528;2.7;6.296e+09;8.383e+09;2.087e+09;7.23e+08;3.53e+08;4.8e+07;4.01e+08;173500000;1154500000;23788924995.1038;17.835694051;0.020696648;0.0148829901;33.637036924;1.3163451172;HOLD;187.5;84.4594594595;189;85.1351351351;209;94.1441441441;
