"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"WEW.DE","WESTWING GROUP  INH. O.N.","Germany","Consumer Cyclical","Furnishings, Fixtures & Appliances",51.5999984741211,30.4050006866455,28.7450008392334,53.25,124321.625,38.0609583059947,10197639,793827264,1.38,32300000,0.09666,0.32441002,32312500,120300000,2.29e+08,111500000,104900000,18500000,-1500000,1.7e+07,24900000,155700000,526198156.839638,6.5027027027027,0.09666,0.0214152382652355,37.3913032421167,1.69708920601291,"HOLD",311,94.2424242424242,316,95.7575757575758,330,100
"TL5.MC","Mediaset España","Spain","Communication Services","Broadcasting",5.71999979019165,3.7279999256134,3.67000007629395,5.74499988555908,491402.655737705,4.72659835463665,131044373,1696551808,0.57,248204992,0.09154,0.17853001,141285504,612799000,1724709000,1109638000,321181000,198613000,-7903000,190710000,75531000,279363000,749573786.065796,3.08539219487143,0.09154,0.112410360297114,10.0350873512134,1.53433473828476,"HOLD",329,99.6969696969697,296,89.6969696969697,329,99.6969696969697
"YSN.DE","SECUNET SECURITY AG O.N.","Germany","Technology","Information Technology Services",399.5,254.890853881836,221.169891357422,399.5,4281.31666666667,281.025965245565,1330582,2078066560,5.427,54285276,0.15099,0.38715,34208928,137012412,239778037,102385175,101648590,35967449,-2436293,33531156,12014845,86087397,531567509,3.80934472166764,0.15099,0.0161357468742483,73.6134144094343,1.56733752473207,"HOLD",319,96.6666666666667,299,90.6060606060606,328,99.3939393939394
"ADV.DE","ADVA OPTICAL NETWORKING SE  O.N.","Germany","Technology","Communication Equipment",11.2600002288818,7.1100001335144,6.75,11.2600002288818,150547.55,9.09450000127157,42638397,554980352,0.758,64017000,0.052699998,0.14667,52395500,244624000,524267000,279643000,79060000,27444000,-2411000,25033000,11228000,144473000,480108359.979155,8.91356945051742,0.052699998,0.0451061013417643,14.8548815684457,1.58368495322603,"HOLD",308,93.3333333333333,306,92.7272727272727,327,99.0909090909091
"GFT.DE","GFT TECHNOLOGIES SE","Germany","Technology","Information Technology Services",20.75,12.539999961853,11.7399997711182,20.75,56874.7295081967,15.2968033806222,16516384,585258688,0.485,39017540,0.039,0.07611,57909128,286732775,414869460,128136685,70872920,29064701,-974956,28089745,3558592,117806078,342714968,9.86532684440827,0.039,0.047995434456498,42.7835051546392,1.65470494921228,"HOLD",300,90.9090909090909,311,94.2424242424242,326,98.7878787878788
"TIK1V.HE","Tikkurila Oyj","Finland","Basic Materials","Specialty Chemicals",33.9000015258789,14.4200000762939,14.2600002288818,34.2999992370605,203906.403361345,31.0321849534492,26274755,1487471744,1.18,85367248,0,0,0,0,0,181358000,0,0,0,0,13500000,145400000,890714234.592094,NA,Inf,0,28.7288148524398,2.3509016190374,"HOLD",283,85.7575757575758,327,99.0909090909091,325,98.4848484848485
"UPONOR.HE","Uponor Oyj","Finland","Industrials","Building Products & Equipment",24.3999996185303,16.7038612365723,16.7038612365723,24.8799991607666,90345.7094017094,19.6986085451566,43875986,1758244992,1.21,1.73e+08,0.09807,0.24258,147750000,446500000,868400000,356800000,1.38e+08,78300000,-14200000,64100000,19900000,280500000,1070574041.66264,5.70242656449553,0.09807,0.0364568079486388,20.1652889409341,1.46074008116804,"HOLD",327,99.0909090909091,282,85.4545454545455,324,98.1818181818182
"MMT.PA","METROPOLE TV","France","Communication Services","Broadcasting",18.2399997711182,11.5500001907349,11.5500001907349,18.2399997711182,199741.737704918,14.9042536391587,55306616,2180335616,2.192,293900000,0.093030006,0.30062,163300000,793500000,1861500000,1060300000,1.97e+08,66550000,-2200000,64350000,57200000,358150000,1008792663.18132,11.923365890308,0.093030006,0.0295138049058957,8.32116777879478,1.57922073332517,"HOLD",306.5,92.8787878787879,302,91.5151515151515,323,97.8787878787879
"ACCEL.AS","Accell Group","Netherlands","Consumer Cyclical","Leisure",43.7000007629395,26.2999992370605,25.5,44.6500015258789,76082.9672131148,33.6135246558268,24190468,1329931392,2.41,89556000,0.057740003,0.18545,187438256,503622000,879575000,375953000,173376000,42478500,-2343000,40135500,18106500,309786000,1057123470.05586,11.8559271160705,0.057740003,0.0301786244323797,18.1327803995599,1.66159703538545,"HOLD",290,87.8787878787879,313,94.8484848484848,321.5,97.4242424242424
"HLAG.DE","HAPAG-LLOYD AG NA O.N.","Germany","Industrials","Marine Shipping",166.100006103516,65.3239898681641,65.3239898681641,166.100006103516,36312.631147541,117.590177629815,6327371,32201431040,11.719,2132600064,0.05487,0.14021,1484215552,8461600000,15184300000,6707200000,681300000,970900000,-213300000,757600000,397200000,3410500000,1050976361.71921,8.71521268925739,0.05487,0.0235269047223064,14.1735648181172,2.54271067089956,"HOLD",273,82.7272727272727,330,100,321.5,97.4242424242424
"EUZ.DE","ECKERT+ZIEGLER AG O.N.","Germany","Healthcare","Medical Devices",90.25,43.5200004577637,41.9799995422363,90.25,62074.0655737705,62.1725407897449,14030010,1755112832,1.535,42924000,0.07944,0.16028999,12964375,143084000,292003000,147823000,87475000,19830000,-4014000,15816000,5160000,49245000,1266208402.5,7.2155320221886,0.07944,0.00901138645426985,58.7947882736156,2.0737591693637,"HOLD",269.5,81.6666666666667,325,98.4848484848485,320,96.969696969697
"HEIJM.AS","Heijmans","Netherlands","Industrials","Engineering & Construction",13.3199996948242,9.00599956512451,8.34099960327148,14.7799997329712,163581.56557377,11.5491310260335,21819862,294857248,1.849,64552000,0.037130002,0.19857,83052128,704229000,930638000,226409000,175063000,62572500,-8184000,54388500,12574000,453734000,290640555.181107,11.2546086539614,0.037130002,0.184457056317639,7.2038938317059,1.47901402820466,"HOLD",301,91.2121212121212,286,86.6666666666667,319,96.6666666666667
"BRNL.AS","Brunel International","Netherlands","Industrials","Staffing & Employment Services",10.5799999237061,7.28720188140869,7.02451229095459,11.2664613723755,87702.1885245902,8.98693939896881,20140333,463109792,0.308,25139000,0.03279,0.06394,85135128,151264000,426042000,272636000,139898000,28786500,-843500,27943000,6534500,205651500,213084721.603415,5.25468535598284,0.03279,0.0603377438410976,34.3506491029417,1.45186041170316,"HOLD",303,91.8181818181818,281,85.1515151515152,318,96.3636363636364
"ORDI.AS","Ordina","Netherlands","Technology","Information Technology Services",3.72000002861023,2.65494799613953,2.63631677627563,4,319962.467213115,3.09879442316587,79412087,341996736,0.239,37101000,0.07682,0.13062,37021000,108283000,286094000,177811000,44405000,14373000,-567000,13806000,5975000,90596500,295412965.911998,7.53377861267655,0.07682,0.0403688063268534,15.5648536761934,1.40115739894693,"HOLD",323,97.8787878787879,256,77.5757575757576,317,96.0606060606061
"FTK.DE","FLATEXDEGIRO AG  NA O.N.","Germany","Financial Services","Capital Markets",104.099998474121,55.7000007629395,53.2999992370605,113.400001525879,97879.0901639344,82.5864751534384,18273275,1685575680,2.16,0,0.024449999,0.15898,0,2372344000,2818178000,445306000,1255124000,210609000,-3030500,207578500,13773500,78935500,1902247899.6172,11.2642099815298,0.024449999,0.123149913980724,48.194443738019,1.86894070104547,"HOLD",253,76.6666666666667,324,98.1818181818182,316,95.7575757575758
"BSL.DE","BASLER AG O.N.","Germany","Technology","Consumer Electronics",109,64.4608001708984,63.2670745849609,118.77498626709,4164.61666666667,88.8042509714762,4076211,1080135936,1.823,34622000,0.07222,0.13869001,11365375,75224000,190132000,114908000,47860000,12274000,-4642000,7632000,1439000,41251000,444306999,6.1287273912335,0.07222,0.00706577732082788,59.7915523861766,1.69095015437319,"HOLD",261,79.0909090909091,315,95.4545454545455,315,95.4545454545455
"HARVIA.HE","Harvia Oyj","Finland","Consumer Cyclical","Personal Services",48.5,20.4226417541504,20.0241508483887,48.5,59160.6554621849,30.4572002026213,13159475,888879040,1.129,34990000,0.12858,0.29554,18437500,100967000,178885000,75261000,32536000,7066000,-1459000,5607000,8208000,39635000,638234537.5,14.2891310500991,0.12858,0.0063079448920294,42.9583702391497,2.37481519696851,"HOLD",245.5,74.3939393939394,328,99.3939393939394,314,95.1515151515152
"FLOW.AS","FLOW TRADERS","Netherlands","Financial Services","Capital Markets",35.9799995422363,24.4924926757812,23.7072372436523,36.0095710754395,235495.237704918,30.3100440072232,32718010,-1186279680,5.582,387967488,0,0,0,0,0,589938000,0,0,0,0,61600000,142300000,1177193984.82288,NA,Inf,0,6.44571829850167,1.46902154952216,"HOLD",289,87.5757575757576,284,86.0606060606061,313,94.8484848484848
"POST.VI","Osterreichische Post AG","Austria","Industrials","Integrated Freight & Logistics",42.25,28.2181053161621,27.4036598205566,42.5,98878.2479338843,33.77989111656,31851069,2986287104,2.039,238800000,0.03769,0.1701,23612500,2025200000,2680200000,627400000,108200000,208500000,-81700000,126800000,48600000,701300000,1345707665.25,9.71318944844125,0.03769,0.0424607532980191,20.7209416380579,1.49726565715952,"HOLD",284,86.0606060606061,288,87.2727272727273,312,94.5454545454545
"WAC.DE","WACKER NEUSON SE NA O.N.","Germany","Industrials","Farm & Heavy Construction Machinery",24.9799995422363,15.9377660751343,15.8987274169922,24.9799995422363,88321.9166666667,18.6080065647761,24762927,1762127616,0.2,112500000,0.022839999,0.01154,291362496,908700000,2126800000,1218100000,283100000,1.73e+08,-2e+07,1.53e+08,-19700000,4.28e+08,618577905.124432,5.25260115606936,0.022839999,0.0868268555641319,124.899997711182,1.56734635359026,"HOLD",271,82.1212121212121,300,90.9090909090909,311,94.2424242424242
"ROVI.MC","Laboratorios Rovi","Spain","Healthcare","Biotechnology",52.5,36.7999992370605,36.7999992370605,52.5,70812.1721311475,43.5950819234379,16887815,3113317376,1.281,92296000,0.08936,0.17543,-10202500,200739000,574439000,373700000,53162000,51529000,-22559000,28970000,14232000,117818000,886610287.5,3.89565099264492,0.08936,0.00930518687986149,40.9836065573771,1.42663046435958,"HOLD",298,90.3030303030303,272,82.4242424242424,309.5,93.7878787878788
"AKW.PA","AKWEL","France","Consumer Cyclical","Auto Parts",28.0499992370605,20.3999996185303,20.1499996185303,34.2000007629395,19949.7540983607,26.4241803904049,8096159,817818880,3.2,132570000,0.06728,0.16427,74609000,353352000,894495000,539634000,175119000,46748000,-7829000,38919000,32664000,275083500,227097253.773121,7.55865491571832,0.06728,0.0475887766249662,8.76562476158142,1.37499998831281,"BUY",324,98.1818181818182,246,74.5454545454545,309.5,93.7878787878788
