"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"HLAG.DE","HAPAG-LLOYD AG NA O.N.","Germany","Industrials","Marine Shipping",195.5,121.846839904785,115.588249206543,224,29843.2248062015,165.302175654921,6328800,39219159040,19.155,9006700000,17297600000,8.277e+09,1614600000,1366400000,-79100000,1287300000,1200800000,4067400000,1237280400,6.59155444964871,0.0694200351493849,0.0328232433206197,10.20621247716,1.60447328919461,"HOLD",452.5,98.7991266375546,440,96.0698689956332,458,100
"YSN.DE","SECUNET SECURITY AG O.N.","Germany","Technology","Information Technology Services",457.5,272.743133544922,246.956512451172,506,4628.14516129032,370.713547368203,1330582,2323907584,5.427,137012412,239778037,102385175,101648590,35967449,-2436293,33531156,12014845,86087397,608741265,3.80934472166764,0.0501081965234372,0.0144287820354219,84.3007186290768,1.67740244842735,"HOLD",438,95.6331877729258,446,97.3799126637555,457,99.7816593886463
"ZO1.DE","ZOOPLUS AG","Germany","Consumer Cyclical","Specialty Retail",397.600006103516,202,185.399993896484,398.600006103516,22602.4516129032,265.69274262459,4494831,1970218496,4.192,367831617,503685865,135854247,153514718,48855924,-758790,48097134,10315799,510234605,1787144833.03427,7.52890513338771,0.0204806203962067,0.0244120812476628,94.8473297002661,1.96831686189859,"HOLD",421,91.9213973799127,454,99.1266375545851,456,99.5633187772926
"WAC.DE","WACKER NEUSON SE NA O.N.","Germany","Industrials","Farm & Heavy Construction Machinery",25.7399997711182,16.8649482727051,16.445276260376,26.9400005340576,93728.0080645161,22.8962902099855,23927107,1920699008,0.464,994500000,2.234e+09,1239500000,238800000,131800000,-7500000,124300000,40900000,494300000,615883728.70352,7.54552352048558,0.0183079677708147,0.064716022386783,55.4741374377547,1.52624243815659,"HOLD",442,96.5065502183406,431,94.1048034934498,455,99.3449781659389
"EQV1V.HE","eQ Oyj","Finland","Financial Services","Asset Management",29.9500007629395,17.1192893981934,17.1192893981934,29.9500007629395,7153.408,22.8697530212402,8797159,1127134464,0.779,49473000,98373000,48900000,68000,7391000,-28000,7363000,8439000,18182000,263474918.7617,6.69368150453254,0.0857857338903968,0.00653249477783691,38.446727551912,1.74948854863685,"HOLD",416,90.8296943231441,449,98.0349344978166,454,99.1266375545851
"SWP.PA","SWORD GROUP","Luxembourg","Technology","Software—Application",43.2999992370605,29.6759815216064,29.0558853149414,45.3499984741211,13116.8548387097,36.9267519366357,5972789,316588352,5.588,99313000,235255000,134150000,105842000,9357500,-314000,9043500,24516500,50196500,258621759.143124,10.6131979695431,0.104212450319866,0.0285654855678329,7.74874717914469,1.45909240459443,"HOLD",448,97.8165938864629,416,90.8296943231441,453,98.9082969432314
"VIRP.PA","VIRBAC","France","Healthcare","Drug Manufacturers—General",353.5,215.5,202.5,353.5,7848.65322580645,272.637096774194,4174308,2341768192,16.29,454283000,1111461000,622928000,181890000,41404500,-7193500,34211000,45155000,227945000,1475617878,10.9718267338091,0.0406267066500759,0.0146090463252821,21.7004297114794,1.64037122969838,"HOLD",420,91.703056768559,443,96.7248908296943,452,98.6899563318777
"BSL.DE","BASLER AG O.N.","Germany","Technology","Consumer Electronics",147.199996948242,84.1571426391602,81.3718109130859,147.199996948242,3779.61290322581,107.154419991278,4047572,1420646528,2.118,81564000,204263000,122699000,45724000,15040000,-4698000,10342000,7899000,60649000,595802586.047791,5.42313829787234,0.0386707333192991,0.00727978409559735,69.4995264156007,1.74910877831713,"HOLD",414.5,90.5021834061135,448,97.8165938864629,451,98.471615720524
"TELIA1.HE","Telia Company","Sweden","Communication Services","Telecom Services",3.66149997711182,2.50604295730591,2.50604295730591,3.88299989700317,942132.512,3.46643269729614,2474390765,15158219776,0.13,1.58984e+11,2.28845e+11,6.8858e+10,1.2989e+10,6.245e+09,-3.476e+09,2.769e+09,8.068e+09,2.1877e+10,9059981729.41319,25.457806244996,0.0352553038082545,0.182673166171146,28.1653844393217,1.46106832144971,"BUY",424,92.5764192139738,417,91.0480349344978,450,98.2532751091703
"ADV.DE","ADVA OPTICAL NETWORKING SE  O.N.","Germany","Technology","Communication Equipment",13.960000038147,10.0200004577637,9.13000011444092,14.2200002670288,185346.717741935,11.2049193843719,42797052,715856832,0.838,250710000,542395000,291685000,85023000,31684000,-3610000,28074000,12001000,149354000,597446847.552578,7.91282666330009,0.0221259414264512,0.039217338921758,16.6587112627052,1.39321351301242,"HOLD",443,96.7248908296943,397,86.6812227074236,449,98.0349344978166
"APAM.MC","APERAM","Luxembourg","Basic Materials","Steel",50.1599998474121,33.5230522155762,33.5230522155762,54.1336708068848,1108.66935483871,43.6941795964395,47059408,4218655488,5.663,2.014e+09,4.457e+09,2.439e+09,4.17e+08,1.15e+08,-2.7e+07,8.8e+07,2.13e+08,1.272e+09,2360499898.0993,17.5130434782609,0.047789993269015,0.0208597265764689,8.85749599989619,1.4962837967393,"HOLD",410,89.5196506550218,428,93.4497816593886,447.5,97.707423580786
"GKS.DE","GK SOFTWARE  INH O.N.","Germany","Technology","Software—Application",168,117.5,110,168,3125.41085271318,133.321705426357,1211416,365577920,6.793,66578000,137823000,70443000,18806000,13968000,-339000,13629000,2114000,30455000,203517888,4.76646620847652,0.0153385138910051,0.0372806979152351,24.7313410864125,1.42978723404255,"HOLD",428,93.4497816593886,410,89.5196506550218,447.5,97.707423580786
"APAM.AS","APERAM","Luxembourg","Basic Materials","Steel",50.2599983215332,33.8701362609863,33.6760406494141,54.2267532348633,237406.85483871,43.8281119254328,47059408,4154763776,2.19,2.014e+09,4.457e+09,2.439e+09,4.17e+08,1.15e+08,-2.7e+07,8.8e+07,2.13e+08,1.272e+09,2365205767.09235,17.5130434782609,0.047789993269015,0.0211805062199522,22.9497709230745,1.48390304468381,"HOLD",411,89.7379912663755,426,93.0131004366812,446,97.3799126637555
