"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"SAF1R.RG","SAF Tehnika","Latvia","Technology","Communication Equipment",11.25,6.1399998664856,6.1399998664856,12.5,1880.88983050847,8.51067802865627,1243307,26521376,0.642,7047919,20481981,13434062,7694955,1189095,-135513,1053582,2035741,8249877,13987203.75,5.92712861461868,0.0993918019941528,0.0397257668682047,17.5233644859813,1.83224759684551,"HOLD",285,97.6027397260274,287,98.2876712328767,292,100
"ALLEX.PA","LEXIBOOK LINGUIST.","France","Consumer Cyclical","Leisure",3.41000008583069,2.08999991416931,1.99500000476837,4.3600001335144,57298.140625,3.44046875182539,4731588,33257894,0.003,11647964,16812173,5164209,3457619,3366950,-8666,3358284,580929,8487480,16134715.4861155,3.45950014107724,0.0345540698397524,0.100977049238295,1136.6666952769,1.63157905544031,"BUY",287,98.2876712328767,278,95.2054794520548,291,99.6575342465753
"ALITL.PA","IT LINK","France","Technology","Information Technology Services",26.5,15.1627807617188,14.6177129745483,29.3999996185303,3249.6484375,20.1875194683671,990305,39236240,1.06,26599000,43470000,16860000,11560000,3680000,-118500,3561500,709500,12568500,26243082.5,7.22798913043478,0.0163216011042098,0.0907706752736756,25,1.74770053174574,"HOLD",272.5,93.3219178082192,284,97.2602739726027,290,99.3150684931507
"ALUMS.PA","UMANIS","France","Technology","Information Technology Services",16.5,9.11999988555908,8.52000045776367,16.7000007629395,11231.8861788618,11.2985365952903,4991579,283313056,0.76,177052000,255777000,78932000,65810000,15002500,-189500,14813000,5459500,51511000,82361053.5,11.8014997500417,0.0213447651665318,0.0522849183484153,21.7105263157895,1.80921054901839,"HOLD",265.5,90.9246575342466,286,97.9452054794521,289,98.972602739726
"WUF1V.HE","Wulff-Yhtiöt Oyj","Finland","Industrials","Business Equipment & Supplies",4.46000003814697,3.0699999332428,2.96000003814697,5.11999988555908,33968.2416666667,4.3495833337307,2667525,44595952,0.357,38132000,56489000,17401000,4037000,3225000,-493000,2732000,4368000,23228000,11897161.601758,11.8238759689922,0.0773247888969534,0.0612611655874058,12.4929973057338,1.4527687736579,"BUY",280,95.8904109589041,266,91.0958904109589,288,98.6301369863014
"CBAV.MC","GRUPO CLINICA BAVIERA","Spain","Healthcare","Diagnostics & Research",18.7999992370605,12.9930610656738,12.126856803894,22,2199.28455284553,14.9478970659458,1648341,338241280,1.652,75708000,127671000,51470000,14852000,8133000,-2261000,5872000,8039500,43245500,30988809.5424156,9.308742161564,0.062970447478284,0.0173603884185869,11.3801448166226,1.4469261047905,"HOLD",274,93.8356164383562,265,90.7534246575342,287,98.2876712328767
"IPR.LS","IMPRESA,SGPS","Portugal","Communication Services","Broadcasting",0.256999999284744,0.155499994754791,0.155499994754791,0.314999997615814,290476.3515625,0.237781249219552,69412560,46368000,0.067,0,0,0,0,0,0,0,1671879,45999931,17839027.8703523,NA,Inf,0,3.83582088484693,1.65273317012009,"BUY",258,88.3561643835616,279,95.5479452054795,286,97.9452054794521
"HOLCO.AS","HOLLAND COLOURS","Netherlands","Basic Materials","Specialty Chemicals",163,116.292137145996,113.384834289551,181,377.921875,154.417015910149,310776,135003072,11.008,18126000,68725000,50258000,16638000,3221000,-374000,2847000,2498500,23749500,50656488,5.62744489289041,0.0363550381957075,0.0210884090104261,14.8074127906977,1.40164248418073,"BUY",276,94.5205479452055,260,89.041095890411,285,97.6027397260274
"SKN1T.TL","Nordic Fibreboard","Estonia","Consumer Cyclical","Furnishings, Fixtures & Appliances",2.1800000667572,0.774999976158142,0.735000014305115,2.3199999332428,6510.90677966102,1.55944915090577,703878,11106319,0.48,4640000,7839000,3199000,131000,196000,-27000,169000,550000,2846000,1534454.08698893,23.6734693877551,0.0701620104605179,0.015216562751349,4.54166680574417,2.81290339848006,"HOLD",242,82.8767123287671,292,100,284,97.2602739726027
"ALMGI.PA","MG INTERNATIONAL","France","Industrials","Security & Protection Services",12.8999996185303,8,7.69999980926514,13.3999996185303,2965.7890625,10.4714843891561,1391664,56698596,0.925,16351107,34476476,18125369,10358635,5160000,-216500,4943500,341484,9302072,17952465.0691223,3.16881918604651,0.00990484062234203,0.0871891078219997,13.9459455335462,1.61249995231628,"HOLD",252,86.3013698630137,276,94.5205479452055,283,96.9178082191781
