Ticker;Signal;Final_rank;Quality;Momentum;PER;MCap;Slope;ROA;FCF2EV;FCF2D;MomentumValue
RKT;NA;1517;1509;1514;NA;0;NA;0.21618;0;0;NA
SBSW;HOLD;1516;1501;1489;NA;13054947732.1456;1.0691738805;0.2197;0.7539951477;0;3.6431123916
DRD;SELL;1515;1500;1476;829.0908986872;372065206.211197;-0.840034642;0.19483;0.8543920321;0;2.6070160308
TSM;HOLD;1514;1494;1466;51.8340790753;520707641948.639;0.6921378376;0.14097999;2.0204861999;0;2.2071762749
AAN;NA;1513;1443;1501;0;0;NA;0.0746;1.2833628031;0.3737903998;NA
BX;HOLD;1512;1487;1436;44.7200012207;44233687798.5484;0.5207639558;0.07685;0;0;1.4904815558
VIPS;HOLD;1511;1479;1406;82.5311177994;17029458025.348;1.4005297279;0.068119995;0;0;1.2454872329
SID;HOLD;1510;1454;1427;8.5893856081;3950771856.96422;1.5646008852;0.06082;1.0893291719;0;1.383492073
MOH;HOLD;1509;1426;1443;18.7088162158;11451727740.6787;0.1953028517;0.07445;4.1061480298;1.1499941;1.6701157144
YETI;BUY;1508;1387.5;1480;36.7740092304;5330375235.02112;0.5497970013;0.19594999;18.6571080181;0.5578644689;2.828823314
VNT;NA;1507;1351;1516;NA;0;NA;0.118269995;11.3295280696;3.0312373739;NA
BIPC;NA;1505.5;1355;1508;NA;0;NA;0.056649998;3.4448923798;1.8268091629;NA
VHC;HOLD;1505.5;1485;1378;1.5502128869;388820861.044266;0.4242545801;0.75604;1.8924810574;0.0004373698;1.0542351723
DECK;HOLD;1504;1381;1477;24.1106100588;8672679813.46573;0.6596742144;0.13771;17.8271966038;0.5799412933;2.6222369185
DHT;BUY;1503;1455;1398;3.5403725523;810149733.790561;0.2712231461;0.1182;3.5502303149;1.2009420692;1.1887346296
WSM;HOLD;1502;1401;1448;18.5467079074;9589478572.47876;0.6082308373;0.11314;11.5570844666;1.6333699874;1.707728953
HZO;HOLD;1501;1434;1413;11.4167711165;928136967.400299;0.826221978;0.08663;4.9309413346;1.2734895102;1.2956298085
UMC;HOLD;1500;1354;1485;62.2222193965;18172833989.1159;1.1503404688;0.03489;0.5711814136;0;3.3276163018
MED;HOLD;1499;1375;1462;27.6221191828;2442973804.74879;0.7604394113;0.35953;22.3970425052;0.0886550061;1.9300541257
KL;SELL;1498;1438;1397;11.5733420222;8992302410.42062;-0.7410855293;0.1685;12.5458211471;0.0410184958;1.1636088049
IDT;HOLD;1497;1360;1460;13.4709349378;155336004.056511;1.4938258203;0.05466;8.2580437532;0.2272233393;1.9033510504
AU;SELL;1496;1415;1392;9.197177054;8614576288.76151;-0.7153732486;0.12367;8.9646568982;2.0321793613;1.1271759911
BKE;HOLD;1495;1392;1414;16.2335379904;1049020300.33451;1.4982623232;0.099750005;11.0333950105;1.905226069;1.3025804364
RDY;HOLD;1494;1483;1314;44.0028481334;7419159126.70578;-0.015121009;0.0856;0.4045016312;0;0.8765126996
HASI;BUY;1493;1325;1470;48.3469568958;4032857322.49851;0.5370784153;0.02831;0;0;2.3697482123
APAM;BUY;1492;1451.5;1343;13.5470592274;2567313083.54511;0.4128999783;0.21528;9.2744254306;0.8430686811;0.9456968288
NOA;HOLD;1491;1371;1416;85.5319178696;256306232.257941;1.1333573287;0.053400002;11.2264502869;0;1.3210561172
AB;HOLD;1490;1504;1279;12.6421633441;3558254764.21059;0.5881204957;0.12198;0;0;0.7938682328
TGT;BUY;1489;1319;1457;19.6550934403;84799527935.6246;0.4396055522;0.08693;14.2696322175;2.304518579;1.8608956264
GFI;SELL;1488;1382;1390;10.9024385127;7702656077.66048;-0.6975230864;0.13204001;11.2087795223;2.495446766;1.1089469315
YALA;NA;1487;1246.5;1517;NA;0;NA;0.5344886485;54.5710687737;0;NA
ZTO;HOLD;1486;1347;1415;38.4821423462;14737426543.4628;-0.0923742674;0.06161;17.2882948707;0;1.3062080154
RH;BUY;1485;1268;1493;55.7756137122;7650649961.59235;0.6233795835;0.13294;20.0253693449;3.0122732675;4.1466205017
OMF;HOLD;1484;1366;1394;9.5360443905;3851298393.861;1.2218184595;0.03224;0;0;1.1612296179
ABR;HOLD;1483;1323;1432;11.306818236;1852962209.04001;0.7426901633;0.02822;0;0;1.4665596442
ATKR;HOLD;1482;1281.5;1473;16.4980634484;3150200036.03523;1.8532174564;0.1232;16.4142413402;3.5142988217;2.4080604648
TT;HOLD;1481;1299;1430;NA;36427563979.4114;0.4960759409;0.05155;9.0332748281;1.2853788628;1.432845952
RIO;HOLD;1480;1342;1385;13.6545517716;116331498284.572;0.5556753081;0.1141;17.4475205339;1.5819060636;1.099145889
GPI;HOLD;1479;1292;1428;9.6569954081;2310745160.26749;0.9712949684;0.06146;6.3540084033;3.2687292572;1.4132003546
DKS;HOLD;1478;1310;1404;16.3913656993;4418735088.14552;0.7652186988;0.06118;6.989408055;2.5907382573;1.2160264854
MTH;SELL;1477;1395;1309;7.4899999445;3043615764.97266;-0.3971807442;0.095340006;8.006571729;2.4532104274;0.8632043659
LPX;HOLD;1476;1444.5;1259;10.3520175267;4877103718.78908;0.8455352348;0.21232;10.2459137702;0.8127782006;0.758376509
VSTO;HOLD;1475;1363;1337;30.0921183404;1530648534.53959;0.5763919786;0.08201;10.7297479927;2.1796650309;0.9368873285
WMS;HOLD;1474;1202;1488;42.9289579689;5822680942.04056;1.2605259936;0.091029994;23.1683234934;2.2887745974;3.5204100849
MLR;HOLD;1473;1466;1222;15.8448015149;455477395.483635;0.6694017174;0.06112;0;0;0.6859417005
ECOM;HOLD;1471.5;1249;1434;34.0000001211;549240824.856291;0.4659244584;0.07399;23.7865837379;0.3969153026;1.4835164213
TPX;HOLD;1471.5;1219;1464;20.8353647372;6490179984.6032;0.9364258965;0.102110006;18.1676154423;3.4881460226;1.9568889001
TME;HOLD;1470;1368;1306;79.9382704276;11640133668.8576;1.0564862522;0.04448;7.5107335548;0;0.8499999728
TPVG;HOLD;1469;1462;1207;12.5367961405;NA;0.4519221121;0.0579;0;0;0.6590323578
ACI;NA;1468;1166;1502;NA;0;NA;0.06729;8.6799593705;5.5987216858;NA
HVT;HOLD;1467;1251;1405;11.375000538;525820503.688194;1.5090512662;0.04203;5.7784462113;1.8952666497;1.2291747532
EBS;SELL;1466;1357.5;1291;16.0264555109;4327794287.85931;-0.7320175615;0.11863;13.6814346408;2.3600102276;0.8233617705
GNE;SELL;1465;1416;1230;15.4417671832;157297220.920432;-0.3102674227;0.10298;12.6205400052;0.2258274694;0.7028318947
SNE;HOLD;1464;1242.5;1399;21.4084499344;123743566159.69;0.4597267901;0.024549998;0.141869669;0;1.1888704432
HMI;HOLD;1463;1502;1137;NA;NA;0.4696737094;0.1111545056;0;0;0.5550329735
FCN;HOLD;1462;1214;1421;21.0194004066;3883201667.10344;0.022485671;0.0664;17.6717789035;2.0650403426;1.3662467138
BFO;HOLD;1461;1134;1500;NA;NA;18.4127141658;0.0174680102;0;0;9369.8210836356
SSTK;HOLD;1460;1279.5;1351;42.7664974619;1749021659.25;0.8147284252;0.07946;22.8222685019;0.4231944715;0.9718849465
SNX;HOLD;1459;1302;1328;8.7918546164;3707180299.98459;1.038201253;0.049310002;3.9138976305;2.055369172;0.9192669512
AJRD;HOLD;1458;1328.5;1298;30.8734939759;3638652112.5;0.3489539801;0.047280002;4.8473805589;0.9396497803;0.8330354564
INFY;HOLD;1457;1239;1387;30.7966102988;65363580404.2049;0.7090534627;0.15007;35.4327332752;0.3244637279;1.1030080959
HMY;SELL;1456;1448;1164;-5.6680159369;2004362926.97574;-0.77324236;0.05914;2.2121855201;0;0.585773973
BAH;HOLD;1454.5;1227;1382;19.556235732;10360055026.6316;-0.1573852449;0.09102;16.4013267311;3.6801150726;1.0865770357
CTB;HOLD;1454.5;1236;1373;20.3780912258;2889036689.63147;1.0659470816;0.0464;10.3920761372;1.6654580206;1.0362050714
LOW;HOLD;1453;1275;1330;19.8412908739;112294591308.777;0.0130136801;0.13988;17.7487128177;3.402534712;0.9238241509
STN;HOLD;1452;1391;1213;87.8820960699;4453823137.75;0.447806385;0.04892;7.8790442473;0;0.672739992
CZZ;HOLD;1451;1279.5;1324;36.0326075899;2142016369.52933;0.2627071229;0.02755;1.1696171147;0;0.9067495871
NVO;HOLD;1450;1499;1095;28.1153538671;114337295178.852;0.1404544833;0.25171;3.5826053034;0;0.5083476218
CP;BUY;1449;1207.5;1380;28.2139982529;42914210789.9927;0.3856605463;0.09925;42.5832219841;0;1.0747682165
PGR;HOLD;1448;1411;1174;9.0051757623;50753943589.2354;0.0246104523;0.07762;7.9052309615;0.8343335035;0.5982009802
UI;HOLD;1447;1087;1491;62.6796060546;2041214884.32205;0.9937950426;0.5405;52.8116454589;1.6241081741;3.7380838305
ACN;HOLD;1446;1336.5;1241;30.403741999;156402618307;0.1448304012;0.11613;21.4812018185;0.4707020232;0.7179140825
SLQT;NA;1445;1058;1515;NA;0;NA;0.1428;37.6332151962;2.8193869497;NA
AZO;HOLD;1444;1296;1274;14.7720541784;25823082387.8101;-0.0101666578;0.12445;14.6869651357;3.5729623528;0.7880960699
