"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"SAF Tehnika","SAF1R.RG",6.09999990463257,3.48206615447998,3.42466926574707,6.19999980926514,1385.73770491803,4.76218060978123,1241769,13398198,0.386,1473913,0.04413,0.11132,2694512,6256701,16675446,10418745,5917504,2210112,-209004,2001108,766142,6707178,7574790.78157568,2.83094295673703,0.04413,0.149356503016301,15.8031085612243,1.75183343279805,"HOLD",119,93.7007874015748,118,92.9133858267717,127,100
"Honkarakenne Oyj B","HONBS.HE",6.65999984741211,3.85999989509583,3.45000004768372,7.78000020980835,19975.4297520661,4.92702480387097,2561064,35841148,0.48,4700000,0.059899997,0.20634001,833000,1.8e+07,32600000,14600000,7e+06,3050000,-950000,2100000,1050000,15150000,17056685.8492126,5.9016393442623,0.059899997,0.0585918732290606,13.8749996821086,1.72538860839704,"HOLD",116,91.3385826771654,117,92.1259842519685,126,99.2125984251969
"Ponsse Oyj 1","PON1V.HE",38.2999992370605,24,23.4500007629395,38.2999992370605,6383.86776859504,30.5673553372218,8121054,1063341312,1.15,71689000,0.077010006,0.13254,56309124,218926000,473964000,255038000,123611000,59294000,-7921000,51373000,17636000,205202000,311036362.004128,3.69221169089621,0.077010006,0.0483128036315775,33.3043471626614,1.59583330154419,"HOLD",122.5,96.4566929133858,110,86.6141732283465,125,98.4251968503937
"Etteplan Oyj","ETTE.HE",16.7000007629395,9.47999954223633,9.47999954223633,16.7000007629395,7565.23140495868,12.9731404879862,4411980,456134176,0.687,27916000,0.06651,0.20849001,32392876,130844000,217918000,87074000,24407000,17512000,-267000,17245000,5691000,70294000,73680069.3660736,7.47167656464139,0.06651,0.0378068579540069,24.3085891745844,1.76160354106936,"HOLD",111,87.4015748031496,119,93.7007874015748,123.5,97.244094488189
"Merko Ehitus","MRK1T.TL",13.5500001907349,8.76000022888184,8.76000022888184,13.5500001907349,6848.60655737705,10.3593441931928,4335438,226504992,1.299,28217000,0.05909,0.15413,56223876,99480000,256915000,153228000,47480000,45529000,-1839000,43690000,9923000,106438000,58745185.7269192,2.18498100112017,0.05909,0.192887581038391,10.4311009936373,1.54680363432644,"HOLD",125,98.4251968503937,105,82.6771653543307,123.5,97.244094488189
"Rapala VMC Oyj","RAP1V.HE",7.11999988555908,2.70000004768372,2.70000004768372,696,31239.9669421488,16.0763636325016,22287948,332560288,0.04,23100000,0.03401,0.02377,46675000,129900000,272900000,137800000,27900000,14550000,-1300000,13250000,3350000,72300000,158690187.209347,8.92783505154639,0.03401,0.0398423999440366,177.999997138977,2.63703694807976,"HOLD",93.5,73.6220472440945,126,99.2125984251969,122,96.0629921259843
"Harvia Oyj","HARVIA.HE",31,18.0615482330322,16.4500007629395,32.2000007629395,45841.8512396694,23.6456283537809,13278611,613188288,0.82,27672000,0.10572,0.23167999,19666376,96766000,165625000,66436000,27321000,10734000,-848000,9886000,5843000,35249000,411636941,9.01490590646544,0.10572,0.0161222909723938,37.8048780487805,1.71635341555632,"HOLD",104,81.8897637795276,115,90.5511811023622,121,95.2755905511811
"eQ Oyj","EQV1V.HE",18.7000007629395,12.6345176696777,12.5862941741943,19.1499996185303,9134.78512396694,15.9967672805156,8072978,698289088,0.6,31136000,0.2175,0.37102002,21613124,23931000,91476000,67545000,80000,13116000,-4000,13112000,9214000,20257000,150964694.759193,1.82456541628545,0.2175,0.0187773233540777,31.1666679382324,1.48007238992737,"HOLD",121,95.2755905511811,97,76.3779527559055,120,94.488188976378
"Verkkokauppa.com Oyj","VERK.HE",9.0600004196167,5.13906669616699,4.8796501159668,9.6226692199707,133640.79338843,7.01134426337628,18186253,383921824,0.32,20490000,0.07332,0.37924,13562250,133138000,173687000,40549000,43099000,10388000,-324000,10064000,4662000,176009000,164767459.811255,12.8165190604544,0.07332,0.0262136699996508,28.3125013113022,1.76296610946384,"HOLD",95.5,75.1968503937008,120,94.488188976378,119,93.7007874015748
"Fiskars Oyj Abp","FSKRS.HE",15.8800001144409,11.3777780532837,11.3777780532837,15.9288883209229,32597.2231404959,14.3679183455538,9042529,1441968512,0.829,132800000,0.04808,0.08964,157850000,580400000,1.342e+09,757800000,62500000,82500000,-9500000,7.3e+07,24700000,313300000,143595361.554835,7.03515151515152,0.04808,0.050625238618248,19.1556093057188,1.39570310126219,"HOLD",110,86.6141732283465,88,69.2913385826772,118,92.9133858267717
