"Ticker","Signal","Final_rank","Quality","Momentum","PER","ROA","FCF2EV","FCF2D","MomentumValue"
"TGT","HOLD",429,398,386,23.4155721951581,0.08206,16.2642202939128,2.50849436567054,1.99321426674769
"COST","BUY",426,412.5,343,38.6837781087574,0.07394,15.5134198178047,0.969959194358088,1.16615074906318
"SPGI","HOLD",423,396.5,340,32.9487833002233,0.22187,31.2241206192198,1.79014944573765,1.1369404659061
"ODFL","HOLD",421.5,380,355,37.0009464788211,0.12871,42.2458067125852,0.462804342986261,1.34752304367806
"TER","HOLD",421.5,362,373,30.6702479891656,0.17413999,49.5447781663127,1.2128009691435,1.69295853639939
"TSCO","HOLD",414,392,329,21.8495495540962,0.110640004,18.0020814002735,3.29583314862072,0.963445259698743
"BBY","HOLD",413,425,295,15.2072540255299,0.07842,5.65045363056402,1.07935963400979,0.712565449830913
"HCA","HOLD",412,414,304,16.6289187779441,0.09002,7.56525860024689,2.9446867107006,0.757718092399581
"KLAC","HOLD",410.5,351,366,31.4899055779749,0.12623,32.310010881024,2.74110839689238,1.57013462964532
"LOW","HOLD",410.5,409,308,22.7061811439858,0.12815,16.3525142685521,3.20868022731532,0.772287269713139
"FAST","BUY",409,385,328,33.4452067335991,0.17588,41.9497962360151,0.964006967578638,0.958689361258749
"ACN","HOLD",407,418,292,32.152879302693,0.11613,22.0932718176774,0.470702023221453,0.704264649183899
"CDNS","HOLD",406,329.5,377,35.3720489177551,0.10663,51.7214360394955,0.962177420331537,1.78096613822193
"GRMN","HOLD",405,363,341,22.4629254105706,0.09746,41.8999016267332,0.114975605709819,1.1399265546903
"PWR","HOLD",403,384,307,26.6543288834443,0.04341,9.77998465888905,1.28824530407528,0.764153637910266
"PGR","BUY",402,393.5,293,11.4563778534837,0.07072,17.9145001034598,1.68843276416005,0.706240249143718
"HD","HOLD",400,421,256,22.9755207263375,0.20424,18.6335409463481,2.44845132004114,0.565255758640147
"CTAS","BUY",399,313,357,39.6477836741535,0.09438,36.8175452932875,2.54291666242373,1.35300145131604
"KEYS","HOLD",398,287,382,39.9063433044987,0.07017,32.1427225481564,2.57165980945972,1.88557705092713
"MCO","HOLD",396.5,338,330,30.2175939858797,0.14646,31.7248703401224,3.70570448418831,0.969278570019925
"VRTX","SELL",395,422,244,23.1615049331527,0.17778,26.9455941167408,0.263659857556112,0.519751762127433
"TROW","BUY",393,429,234,17.0273309402371,0.16448,17.1705697610267,0.0896715320629141,0.476474533542699
"AMAT","HOLD",391,373,288,22.0153069009586,0.13498001,32.7493885920616,2.36952455213817,0.692038910503401
"MSFT","BUY",391,292,369,35.87998034666,0.121020004,50.4734392682663,2.58176207585992,1.6109069395472
"TXN","BUY",391,378,283,31.0675761655901,0.18471001,38.4246929472833,1.71891008901879,0.676347836846188
"MXIM","HOLD",388.5,361,299,35.0256821516708,0.1269,39.3037209518769,1.78577584088589,0.734394547698474
"ORLY","HOLD",388.5,344,316,20.2591882950991,0.12722999,24.680500769096,4.30371344847885,0.839361498256569
"GWW","BUY",384.5,332.5,319,35.2808014807232,0.13575,33.9599671579011,3.43901124483311,0.872065809133845
"CHD","HOLD",381.5,334.5,312,28.2206416554298,0.08644,30.0521664072075,2.57435097947196,0.822543802553816
"LRCX","HOLD",379,275,368,26.8350468216189,0.14130001,44.6985393146087,3.87738874956971,1.60263781096943
"WMT","BUY",378,367.5,274,20.8008649201276,0.067210004,17.5081527997415,2.58445224195396,0.637037249131807
"CTXS","HOLD",377,415,223,27.8110316595801,0.099870004,16.4022667183989,1.857219288902,0.444396680976983
"AZO","HOLD",375,369.5,266,15.5312729791454,0.11995,18.0578476206814,4.55188607167046,0.599238135179783
"UNH","BUY",374,369.5,265,20.1436034623345,0.08221,21.8917947711037,2.65990480646558,0.592497525154316
"HUM","HOLD",370.5,355,276,13.1479934948619,0.105500005,21.0397869198818,4.04783314339175,0.647016112221658
"PAYX","BUY",370.5,391,240,31.8020478857255,0.10163,30.15314599861,0.803424893661363,0.506648637759331
"PG","HOLD",367,350,277,26.588954593856,0.09126,28.8794862671036,2.49824901621566,0.648434835450558
"NEM","HOLD",366,339.5,287,18.8214957227054,0.04384,15.6676408578239,2.09661337032286,0.683415405866666
"EXPD","BUY",365,405,220,25.6568655544515,0.13003,29.9301396706847,0.850637113146562,0.435673780013626
"CLX","HOLD",364,393.5,230,22.4430363642264,0.14774999,24.3358068091983,2.71522025546188,0.472203080370909
