"Ticker","Signal","Final_rank","Quality","Momentum","PER","MCap","ROA","FCF2EV","FCF2D","MomentumValue"
"TGT","HOLD",393,368.5,337,24.0310383564061,90452893907.5478,0.08206,16.6521798970982,2.50849436567054,1.55309208829819
"AAPL","HOLD",392,353.5,351,35.7906174976586,2213097596456.4,0.13361,33.6442015039749,1.6749491623187,2.2941836503828
"TER","HOLD",391,355.5,341,26.5140194759191,18775706517.3777,0.17548999,40.7637935964242,1.07759507040199,1.67262468394414
"COST","BUY",390,388,308,36.1837774821131,155659548028.915,0.07156,14.6725304708395,0.982337870713178,1.04184497124649
"FAST","HOLD",384.5,378,299,30.5973155386496,26077251818.1495,0.18359,34.5249598237399,0.844409057340077,0.927611774032649
"ACN","BUY",380,396,273,29.7784340434448,153184381267.451,0.11613,21.0598043001451,0.470702023221453,0.70255648531097
"SPGI","HOLD",380,375,294,31.773078079583,76149693084,0.22187,30.166060843612,1.79014944573765,0.867908039929698
"HOLX","HOLD",378,394.5,274,15.1434004476607,20410665349.1759,0.17069,18.8695507235917,2.36095152055647,0.705620621306076
"SWKS","HOLD",377,403.5,263,26.2688188731957,27999985793.5,0.14527,21.4387706489395,0,0.654928635841565
"LLY","HOLD",375,339.5,324,34.0265054353245,154830506428.555,0.09844,42.5026579911363,0,1.21657010198937
"HCA","HOLD",374,386.5,270,16.4287154426228,42874366952.7655,0.09002,7.5048406053841,2.9446867107006,0.674887635586704
"PWR","HOLD",372,353.5,296,26.0806814288317,9668199327.73553,0.04341,9.59324378095861,1.28824530407528,0.890692294088039
"CDNS","HOLD",370,295,348,33.8060667331212,35831539662.4637,0.10663,49.3943357184463,0.962177420331537,2.04123920685591
"KLAC","HOLD",368.5,305.5,336,34.0634890931913,43166553909.8252,0.12623,34.8557102844121,2.74110839689238,1.52715700299438
"ODFL","HOLD",368.5,337.5,304,36.7772511848341,19872171362,0.12871,43.0909443527499,0.462804342986261,1.02231063716863
"PG","HOLD",367,357,282,24.2271365672463,315357313225.715,0.09623,24.2790609068344,2.23734972376688,0.744319587429478
"GRMN","BUY",366,328,309,21.5618548170361,16339501045.106,0.09746,41.0755912174131,0.114975605709819,1.06891195202427
"LOW","BUY",365,380,254,23.6030564582707,122135003846.153,0.12815,16.920462547844,3.20868022731532,0.613908996220942
"TSCO","HOLD",362,329,298,22.2163018014364,16428523454.9909,0.108500004,20.7420230992917,3.92591841095671,0.921676022609448
"BBY","BUY",360,402,214,16.5833586855874,25201332962.2852,0.07842,6.18426027009779,1.07935963400979,0.480153790442133
"TXN","HOLD",359,360,255,27.7630701141766,152077974079.426,0.19795999,36.8497095111111,1.64202901642512,0.615974881000189
"EXPD","BUY",358,383,231,24.1489065667835,15049929151.5588,0.13003,28.0501689607292,0.850637113146562,0.521767161625454
"MSFT","HOLD",357,276,332,34.5847631897819,1723862355995.36,0.12810999,48.8680803854175,2.37924623013827,1.44235850476864
"CHD","HOLD",356,314.5,293,27.0608975337102,20878290186.9055,0.09147,27.9415175593592,2.63902302185294,0.86027544363607
"CTAS","HOLD",355,287.5,319,35.6836786446649,28574722958.4076,0.09438,33.4677556453658,2.67295203251969,1.16544579419717
"PHM","HOLD",352,406,195,8.3976833976834,11338270606.5,0.095369995,5.42879952182297,1.40558380402748,0.409803715778787
"CLX","HOLD",351,365,234,23.2810944441333,26307106293.1674,0.14774999,25.1647797132778,2.71522025546188,0.528596159201157
"VRTX","SELL",348.5,398,198,22.4500197796016,59482509865.5684,0.17778,26.0348088721911,0.263659857556112,0.416312118736005
"MCO","HOLD",347,303.5,292,27.7209796736726,49797739222.4929,0.14646,29.3036601996122,3.70570448418831,0.846953829960569
"AMAT","HOLD",346,323,271,24.6632653839734,87977134191.2647,0.13498001,36.6899702312971,2.36952455213817,0.687545544390717
"HD","HOLD",343.5,393,199,23.4253098628336,291162671673.418,0.20424,19.4318441725262,2.44845132004114,0.421620156484064
"AZO","HOLD",340.5,348,239,14.6525429750961,25357397872.1294,0.11995,17.2421483163516,4.55188607167046,0.548703931889154
"PAYX","BUY",340.5,366,221,29.8020476774144,28092823271.578,0.10163,28.2584058706823,0.803424893661363,0.492415910283959
"ORLY","HOLD",338.5,308,277,19.0460629938987,30325270096.8553,0.12722999,23.3966216023362,4.30371344847885,0.709811489477783
"VRSN","HOLD",337,284,295,27.9962503352883,20591367097.65,0.28015,42.3082679948624,3.33140987330733,0.8830490545114
"CTXS","HOLD",336,373,205,33.3358333479854,16611308074.6746,0.083629996,17.8235045413859,1.93459567016639,0.442481853370821
"UNH","HOLD",333,333.5,240,20.8123275874885,318714264670.462,0.07545,20.6824580107586,2.59477376885117,0.551514092639083
"CPRT","BUY",332,224.5,347,38.4952648193616,23013815530,0.16282,152.162974157952,3.09758062912633,1.88745180125211
"LRCX","HOLD",330.5,231,338,24.034068941549,69045557179.3375,0.15671,46.6262736208414,3.93146827738502,1.61644870314516
"BR","HOLD",326.5,293,269,35.0732185551238,16245223980.572,0.08785,26.6298485762957,3.07397515571309,0.671132678758382
"GWW","HOLD",326.5,311,251,31.4834987600171,16434556651.5073,0.13575,30.5801179113151,3.43901124483311,0.601070332960901
"FB","HOLD",322,344,210,25.6025754779252,617811315232.936,0.13953,42.784126766018,0.698240657330298,0.461608457136307
"ALXN","HOLD",320.5,389,164,35.5836625275133,33435106006.6894,0.107370004,19.1166235079356,1.6590432601465,0.309420096318868
"MRK","HOLD",320.5,326,227,17.020759649917,193076903794.399,0.11264,25.0183777322101,3.32198663151447,0.508079012290806
"HUM","HOLD",318.5,330.5,220,12.2775921468902,50566972766.6018,0.105500005,19.2204154699483,4.04783314339175,0.487291607340847
"DG","HOLD",317,237.5,312,19.2664093268341,47568055579.7968,0.08769,24.1881745045045,5.52409069601647,1.09358146776522
