"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"ZDGE","Zedge Inc Cl B","United States","Technology","Software—Application",13.3000001907349,2.92000007629395,2.91000008583069,15.5799999237061,340086.85483871,8.70945966820563,11102326,182508384,0.282,5257000,0.15649,0.28157,3039250,3827000,21785000,17958000,13608000,2274000,-186000,2088000,2278000,5314000,147660937.917601,1.68293755496922,0.15649,0.0114405703137451,47.1631212437407,4.55479446686014,"HOLD",2353,96.1585615038823,2437,99.5913363302002,2447,100
"WLMS","Williams Industrial Services Group Inc","United States","Industrials","Specialty Industrial Machinery",5.15999984741211,1.60000002384186,1.5900000333786,5.23000001907349,127080.024193548,3.01636289973413,11188436,147947344,0.062,10126000,0.05711,0.073359996,10804000,73185000,105080000,31895000,8716000,17409000,-29000,17380000,-992000,64115000,57732328.0527802,4.20386007237636,0.05711,0.117474227857717,83.2258039905179,3.22499985657633,"HOLD",2361,96.4854924397221,2414,98.6514098896608,2446,99.95913363302
"FLGT","Fulgent Genetics Inc","United States","Healthcare","Diagnostics & Research",77.0199966430664,34.2400016784668,31.0100002288818,183.850006103516,1845935.08870968,80.2511690662753,18005495,2247038976,8.91,298377984,0.46789002,0.65723,55331000,131074000,700461000,569387000,87426000,134256000,-23794000,110462000,166307000,294978000,1386783164.45675,0.976299010844953,0.46789002,0.0491589158798819,8.64421960079309,2.24941567954138,"HOLD",2440,99.7139354311402,2330,95.2186350633429,2445,99.91826726604
"LPX","Louisiana-Pacific Corp","United States","Industrials","Building Products & Equipment",65.879997253418,29.6241455078125,28.572868347168,70.5500030517578,1558375.24193548,45.0012227335284,105663434,7133092352,4.46,7.81e+08,0.21232,0.44276002,477375008,8.42e+08,2.086e+09,1.234e+09,5.35e+08,3.21e+08,-2.4e+07,2.97e+08,2.56e+08,8.6e+08,6961106741.70671,2.62305295950156,0.21232,0.0416369206150438,14.7712998326049,2.22386151985528,"HOLD",2433,99.4278708622803,2326,95.055169595423,2444,99.8774008990601
"LOVE","The Lovesac Company","United States","Consumer Cyclical","Furnishings, Fixtures & Appliances",73.2699966430664,24.3600006103516,23.75,79.6100006103516,404028.693548387,50.099516207172,12519781,1075548032,0.96,21738262,0.06373,0.14868,22266420,63072316,171018871,107946555,78341101,33590265,-1702248,31888017,21703363,129677733,917324311.841927,1.87769629087475,0.06373,0.0296481570801666,76.3229131698608,3.00779945842575,"HOLD",2349.5,96.0155292194524,2407,98.365345320801,2443,99.8365345320801
"ENVA","Enova International Inc","United States","Financial Services","Credit Services",34.2400016784668,15.75,15.75,40.4799995422363,397138.629032258,27.9496772520004,30274637,1999946240,11.701,0,0.20542,0.58394,0,1189241000,2108075000,917348000,297273000,117638000,-9656000,107982000,230691000,216199000,1036603621.69497,10.1093269181727,0.20542,0.0539924513170914,2.92624576347892,2.17396836053757,"HOLD",2410,98.4879444217409,2313,94.5239068246833,2442,99.7956681651001
"ATLC","Atlanticus Hld Cp","United States","Financial Services","Credit Services",31.2600002288818,12.3999996185303,12.3999996185303,35.1100006103516,47712.1048387097,25.0412903293487,5245355,1363055488,3.952,0,0.087629996,0.61535,0,991354000,1207214000,77284000,178102000,64960000,-4000,64956000,26675000,3974000,163969798.500566,15.2609913793103,0.087629996,0.0476546997329576,7.90991908625553,2.52096783794796,"HOLD",2311.5,94.4626072742133,2373,96.9758888434818,2441,99.7548017981202
"VALE","Vale S.A.","Brazil","Basic Materials","Other Industrial Metals & Mining",20.1200008392334,10.2501583099365,10.2501583099365,21.0599994659424,30094810.0564516,16.2923598135671,4533730062,137009594368,2.012,146669993984,0.17407,0.29058,62070124544,2.93667e+11,4.95569e+11,2.07487e+11,7.3399e+10,3.831e+10,-5.541e+09,3.2769e+10,3.0564e+10,6.9301e+10,91218652652.2977,7.66554424432263,0.17407,0.239173031284104,10.000000417114,1.96289659445835,"HOLD",2429,99.2644053943604,2255,92.1536575398447,2440,99.7139354311402
"LEU","Centrus Energy Corp","United States","Energy","Uranium",22.8899993896484,9.69999980926514,9.14000034332275,27.9099998474121,142979.370967742,21.0588709000618,9731585,276101952,0.57,60500000,0.07058,0,60387500,806900000,486300000,-320700000,1.52e+08,61900000,-5e+05,61400000,16400000,92900000,222755974.710312,13.0355411954766,0.07058,0.222381622278426,40.1578936660499,2.35979379791169,"BUY",2330.5,95.2390682468329,2352,96.1176951369023,2439,99.6730690641602
"ATKR","Atkore International Group","United States","Industrials","Electrical Equipment & Parts",78.2799987792969,21.4599990844727,21.1299991607666,78.3399963378906,535235.60483871,54.4437096964928,46213743,4106433024,4.132,381784000,0.1232,0.57106,228303008,1177226000,1614573000,437347000,280420000,86276000,-8229000,78047000,85066000,511082000,3617611745.62674,13.6448838610969,0.1232,0.0190060326185415,18.9448206145443,3.64771678093576,"HOLD",2254.5,92.1332243563547,2426,99.1418062934205,2438,99.6322026971802
"HIBB","Hibbett Sports Inc","United States","Consumer Cyclical","Specialty Retail",79.4499969482422,37.939998626709,36.5699996948242,79.6500015258789,498170.709677419,57.2920966302195,15966731,1291411968,4.36,188474000,0.12587,0.20628999,166791008,417130000,808166000,391036000,209290000,52507000,-13969000,38538000,23932000,376830000,1268556729.2234,7.94427409678709,0.12587,0.0298417553460369,18.2224763642757,2.0940959363217,"HOLD",2380,97.2619534123416,2299,93.9517776869636,2437,99.5913363302002
"OMP","Oasis Midstream Partners LP","United States","Energy","Oil & Gas Midstream",20.9599990844727,7.06009101867676,7.06009101867676,23.2099990844727,203151.556451613,15.4980656216221,10820460,1447971840,0.562,221628000,0.07304,0.11755,82389504,507035000,1030693000,237566000,5147000,47164000,-4369000,42795000,54313000,90614000,226796831.693573,10.7504664574676,0.07304,0.0295551327849028,37.2953720364282,2.96880012297647,"HOLD",2269,92.7257866775644,2402,98.1610134859011,2436,99.5504699632203
"HZO","Marinemax Inc","United States","Consumer Cyclical","Specialty Retail",56.7999992370605,29.6599998474121,27.7299995422363,61.7700004577637,527679.14516129,43.1585484781573,20440776,1353187712,5.441,182023008,0.11672,0.27032,399968256,401822000,925126000,523304000,142888000,159479000,-5082000,154397000,38935000,523095000,1161036061.20493,2.51959192119339,0.11672,0.114098730450192,10.4392573492116,1.91503707111504,"HOLD",2435.5,99.5300367797303,2232,91.2137310993053,2435,99.5096035962403
"SONO","Sonos Inc","United States","Technology","Consumer Electronics",40.0299987792969,14.75,14.75,43.8899993896484,3510409.25806452,30.6030644601391,118138143,4383792128,0.361,103066000,0.04364,0.09436,229850000,556651000,1066860000,510209000,677834000,214513000,-11333000,203180000,132292000,645584000,4729069720.0784,2.59495228727396,0.04364,0.046348000559209,110.886423211349,2.71389822232521,"HOLD",2272,92.8483857785043,2388,97.5888843481815,2434,99.4687372292603
"LB","L Brands Inc","United States","Consumer Cyclical","Apparel Retail",65.9000015258789,33.0200004577637,32.5200004577637,67.5899963378906,4025302.56451613,48.8475806636195,175675407,24389246976,3,2395000064,0.10797,0,1705500032,1.2232e+10,1.1571e+10,-6.62e+08,3.903e+09,1.333e+09,-2.8e+07,1.305e+09,8.6e+08,4.818e+09,11577009589.3594,9.17629407351838,0.10797,0.0535071870519074,21.966667175293,1.99576016390952,"HOLD",2389,97.6297507151614,2262,92.4397221087045,2433,99.4278708622803
"UCTT","Ultra Clean Holdings","United States","Technology","Semiconductor Equipment & Materials",51.0699996948242,21.9300003051758,21.9300003051758,65.0100021362305,609939.129032258,42.2853224969679,39369925,2318407424,1.89,185752000,0.07785,0.18377,101921000,613914000,1190559000,557615000,264257000,65603000,-6487000,59116000,24997000,417627000,2010622057.73525,9.35801716384921,0.07785,0.0254985380861168,27.0211638596954,2.32877332349015,"HOLD",2288,93.5022476501839,2345,95.8316305680425,2432,99.3870044953004
