"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"VALE","Vale S.A.","Brazil","Basic Materials","Other Industrial Metals & Mining",20.1200008392334,10.2501583099365,10.2501583099365,21.0599994659424,30094810.0564516,16.2923598135671,4533730062,137009594368,2.012,146669993984,0.17407,0.29058,62070124544,2.93667e+11,4.95569e+11,2.07487e+11,7.3399e+10,3.831e+10,-5.541e+09,3.2769e+10,3.0564e+10,6.9301e+10,91218652652.2977,7.66554424432263,0.17407,0.239173031284104,10.000000417114,1.96289659445835,"HOLD",611,99.8366013071895,601,98.202614379085,612,100
"LB","L Brands Inc","United States","Consumer Cyclical","Apparel Retail",65.9000015258789,33.0200004577637,32.5200004577637,67.5899963378906,4025302.56451613,48.8475806636195,175675407,24389246976,3,2395000064,0.10797,0,1705500032,1.2232e+10,1.1571e+10,-6.62e+08,3.903e+09,1.333e+09,-2.8e+07,1.305e+09,8.6e+08,4.818e+09,11577009589.3594,9.17629407351838,0.10797,0.0535071870519074,21.966667175293,1.99576016390952,"HOLD",605,98.8562091503268,603,98.5294117647059,611,99.8366013071895
"WSM","Williams-Sonoma","United States","Consumer Cyclical","Specialty Retail",170.75,91.4243316650391,89.1416931152344,186.246566772461,1364784.2983871,130.943366696758,75191035,13747597312,8.61,1137782016,0.13613,0.47155997,989198976,3010239000,4661424000,1651185000,1200337000,548220000,-44628000,503592000,308955000,2292673000,12838869226.25,5.49093247236511,0.13613,0.0366312737106741,19.8315911730546,1.86766473312154,"HOLD",609,99.5098039215686,592,96.7320261437908,610,99.6732026143791
"AMAT","Applied Materials","United States","Technology","Semiconductor Equipment & Materials",132.710006713867,60.0375900268555,60.0375900268555,143.050003051758,8636945.06451613,104.39592026126,913467122,123592400896,4.181,5248999936,0.14142,0.38314998,2829374976,1.1832e+10,2.3305e+10,1.1473e+10,6.213e+09,1.421e+09,-1.21e+08,1.3e+09,1.13e+09,5.162e+09,121226227893.517,8.3265306122449,0.14142,0.0105184460417912,31.7412118425896,2.21044859819497,"HOLD",569.5,93.0555555555556,609,99.5098039215686,609,99.5098039215686
"LRCX","Lam Research Corp","United States","Technology","Semiconductor Equipment & Materials",620.450012207031,349.205291748047,349.205291748047,668,1545843.36290323,529.798825417795,141990395,91442298880,23.652,4221655040,0.17368999,0.69843,1834884224,9913297000,15284913000,5371616000,3673366000,1165080000,-89596000,1075484000,1071121000,3847654000,88097942311.0312,8.50868352387819,0.17368999,0.0117613403553137,26.2324544312122,1.77674859708222,"HOLD",584,95.4248366013072,576,94.1176470588235,608,99.3464052287582
"TPL","Texas Pacific Land Trust","United States","Energy","Oil & Gas E&P",1540.15002441406,457.550811767578,457.550811767578,1703.78002929688,47555.6048387097,1025.28128716253,7746306,12583731200,22.698,231824000,0.23233,0.35304,135327120,86451000,571635000,485184000,281046000,45588000,-760000,44828000,44791000,74250000,11930473375.0188,1.89635430376415,0.23233,0.00356237742904108,67.8539970223836,3.36607429121208,"HOLD",542,88.562091503268,612,100,607,99.1830065359477
"LPLA","Lpl Financial Hld","United States","Financial Services","Capital Markets",156.699996948242,80.1554870605469,75.7958602905273,156.699996948242,621094.741935484,119.617839505596,78927192,13928783872,5.86,908928000,0.07375,0.40418997,293625632,5208717000,6523571000,1314854000,808612000,326274000,-43571000,282703000,111548000,1581283000,12367890745.5333,15.9642417109546,0.07375,0.0202963160745352,26.7406138136932,1.95495034332305,"HOLD",523,85.4575163398693,600,98.0392156862745,606,99.0196078431373
"SBSW","Sibanye Gold Ltd ADR","South Africa","Basic Materials","Gold",18.6499996185303,11.9622678756714,11.9622678756714,20.5599994659424,2591277.91935484,16.2035416249306,685204529,14782291968,14.5408408414066,48374300672,0.21379,0.60128,13936637952,63387100000,134103100000,68480300000,20239800000,7123950000,-2740550000,4383400000,9963450000,36186850000,12779064204.4652,8.89774633454755,0.21379,0.296530471018227,1.28259430262261,1.55906888328928,"HOLD",610,99.6732026143791,512,83.6601307189542,605,98.8562091503268
"ZBRA","Zebra Technologies","United States","Technology","Communication Equipment",487.739990234375,293.070007324219,293.070007324219,513.489990234375,363030.991935484,427.034595858666,53014002,27835516928,9.35,8.31e+08,0.08489,0.25308,848625024,3.231e+09,5.375e+09,2.144e+09,1.68e+08,4.31e+08,-1.8e+07,4.13e+08,1.99e+08,1.308e+09,25857048817.7651,7.49651972157773,0.08489,0.0148371593410058,52.1647048379011,1.66424396234718,"HOLD",567,92.6470588235294,547,89.3790849673203,604,98.6928104575163
"RIO","Rio Tinto Plc","United Kingdom","Basic Materials","Other Industrial Metals & Mining",85.0599975585938,54.8699607849121,54.8699607849121,88.25,2232480.36290323,75.4813877844041,1419503435,147227901952,5.998,21044000768,0.1141,0.21410999,8743249920,4.5487e+10,9.739e+10,4.7054e+10,1.0381e+10,5123500000,-1.748e+09,3375500000,3226500000,12624500000,120742958715.515,8.87811066653655,0.1141,0.0229270400192247,14.1813933908959,1.5502106497219,"HOLD",601.5,98.2843137254902,510,83.3333333333333,603,98.5294117647059
"BBL","Bhp Billiton Plc","Australia","Basic Materials","Other Industrial Metals & Mining",60.5,37.7997360229492,37.7997360229492,64.2178649902344,1552069.4516129,54.6887055673907,2503644845,176662822912,2.75,23103000576,0.10592,0.15824,8365373952,4.981e+10,1.03233e+11,4.8922e+10,9.291e+09,4684500000,-1.807e+09,2877500000,1.938e+09,12819500000,151470513122.5,10.6329384139182,0.10592,0.0162880902306953,22,1.60054027793392,"HOLD",579,94.6078431372549,526,85.9477124183007,602,98.3660130718954
"ETSY","Etsy Inc","United States","Consumer Cyclical","Internet Retail",198.789993286133,126.440002441406,119.430000305176,244.580001831055,3336301.80645161,191.420321987521,125213569,25787404288,2.691,451302016,0.13486,0.60788,501646496,1662065000,2404489000,742424000,1244099000,243667000,-1937000,241730000,148538000,617355000,24891204540.8427,6.82105086039554,0.13486,0.00937395626563653,73.8721639859282,1.57220807851735,"BUY",561.5,91.7483660130719,519,84.8039215686274,601,98.202614379085
"MGA","Magna International","Canada","Consumer Cyclical","Auto Parts",94.4199981689453,50.7570495605469,50.7570495605469,99.1800003051758,1471171.30645161,76.6928167650777,300597594,32067282944,2.52,3.068e+09,0.03417,0.05925,1796749952,1.6885e+10,2.8605e+10,1.137e+10,3.268e+09,2.259e+09,-5.6e+08,1.699e+09,7.38e+08,1.0568e+10,28382424275.0694,7.47454625940682,0.03417,0.0529823497353053,37.468253241645,1.86023417409859,"HOLD",491,80.2287581699347,589,96.2418300653595,600,98.0392156862745
"SNA","Snap-On Inc","United States","Industrials","Tools & Accessories",237.600006103516,161.607116699219,155.510238647461,240.229995727539,480716.379032258,194.394088499008,53259050,13459916800,12.455,1066400000,0.100030005,0.19362,1058962496,2775600000,6673500000,3.876e+09,904200000,319300000,-19300000,3e+08,192600000,1113200000,12654350605.0674,8.6927654243658,0.100030005,0.0222883992863908,19.0766765237668,1.47023231994006,"HOLD",597,97.5490196078431,481,78.5947712418301,598.5,97.7941176470588
