"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"MRNA","Moderna Inc","United States","Healthcare","Biotechnology",354.902008056641,157.479995727539,118.48999786377,354.902008056641,11275884.1746032,187.242039695619,342113722,81426194432,1.492,8.856e+09,1.2694e+10,3.838e+09,5.442e+09,2.971e+09,-3.5e+07,2.936e+09,1.221e+09,1.937e+09,121416846921.531,2.98081454055873,0.0961871750433275,0.0360571929031006,237.869978590242,2.25363231956564,"HOLD",650,100,649,99.8461538461539,650,100
"NUE","Nucor Corp","United States","Basic Materials","Steel",102.730003356934,48.5602340698242,48.5602340698242,110.268440246582,3308367.58730159,83.4652092343285,291615639,31916099584,10.033,10285931000,22995582000,12253978000,2722656000,1352775000,-388868000,963907000,1506868000,8789164000,29957675573.4043,7.60357856997653,0.0655285871868779,0.030201278118684,10.2392109395927,2.11551705474111,"HOLD",642,98.7692307692308,648,99.6923076923077,649,99.8461538461539
"ET","Energy Transfer LP","United States","Energy","Oil & Gas Midstream",9.9399995803833,6.11919116973877,6.11919116973877,11.3500003814697,18186275.5634921,8.93216037371802,2316977385,88955068416,1.293,6.1195e+10,9.6218e+10,2.1436e+10,3.55e+08,5.155e+09,-6.98e+08,4.457e+09,3.285e+09,1.6995e+10,23030754234.6576,11.8709990300679,0.0341412209773639,0.0501039466256915,7.68754801267077,1.62439762129668,"HOLD",621,95.5384615384615,639,98.3076923076923,648,99.6923076923077
"EXPD","Expeditors Intl","United States","Industrials","Integrated Freight & Logistics",128.130004882812,90.0703277587891,90.0703277587891,130.360000610352,1125175.57142857,112.46811724466,167875875,19793625088,5.033,2576347000,5454997000,2874794000,1793393000,355744000,-8391000,347353000,287220000,3357540000,21509936683.4564,7.24213760456958,0.0526526412388494,0.0175487308896532,25.4579783196528,1.4225551085586,"HOLD",637,98,601,92.4615384615385,646.5,99.4615384615385
"INTU","Intuit Inc","United States","Technology","Software—Application",526.099975585938,372.609222412109,369.457489013672,529.309997558594,1262147.62698413,431.68376159668,265438586,141297926144,7.888,5.803e+09,1.5758e+10,9.955e+09,3.164e+09,2.384e+09,-3e+07,2.354e+09,1.464e+09,4.173e+09,139647233614.166,2.43414429530201,0.0929051910140881,0.0166598340417324,66.696244369414,1.4119349279124,"HOLD",643,98.9230769230769,595,91.5384615384615,646.5,99.4615384615385
"TPL","Texas Pacific Land Trust","United States","Energy","Oil & Gas E&P",1457.59997558594,830.508728027344,830.508728027344,1750.00610351562,60873.1428571429,1448.50310988653,7745918,11296759808,21.75,99867000,613802000,513935000,310655000,52387000,-1449000,50938000,50052000,84085000,11290449887.6907,1.90633172351919,0.0815442113254763,0.00450908055634921,67.0160908315374,1.75506882275408,"BUY",575,88.4615384615385,644,99.0769230769231,645,99.2307692307692
"VALE","Vale S.A.","Brazil","Basic Materials","Other Industrial Metals & Mining",21.5953998565674,15.7002239227295,15.362585067749,22.9400005340576,28351536.9603175,19.4995365142822,4534140526,147168591872,2.119,2.93667e+11,4.95569e+11,2.07487e+11,7.3399e+10,3.831e+10,-5.541e+09,3.2769e+10,4.0095e+10,8.7847e+10,97916577664.8368,7.66554424432263,0.0809069978146333,0.222662998831305,10.1913165911125,1.37548355761368,"HOLD",648.5,99.7692307692308,568,87.3846153846154,644,99.0769230769231
"AZO","Autozone","United States","Consumer Cyclical","Specialty Retail",1617.32995605469,1159.32995605469,1146.65002441406,1632.13000488281,205857.722222222,1404.74547177269,21464606,42041593856,91.057,15901338000,14137946000,-1763392000,975646000,1190500000,-135058000,1055442000,596164000,3651023000,34715350278.7112,13.3568567828643,0.0421676529249723,0.025104709484019,17.7617311799717,1.3950557799426,"HOLD",615,94.6153846153846,583,89.6923076923077,643,98.9230769230769
"GOOGL","Alphabet Cl A","United States","Communication Services","Internet Content & Information",2689.28002929688,1893.06994628906,1893.06994628906,2721.8798828125,1539908.29365079,2280.59166124132,581338241,1707311759360,94.256,9.7822e+10,3.35387e+11,2.37565e+11,2.363e+10,1.9289e+10,-5.942e+09,1.3347e+10,1.8525e+10,6.188e+10,1563381321787.87,5.07138783762766,0.0552346990193418,0.00781755290258367,28.5316587728832,1.42059200430951,"HOLD",597,91.8461538461538,600,92.3076923076923,642,98.7692307692308
"GOOG","Alphabet Cl C","United States","Communication Services","Internet Content & Information",2699.52001953125,1901.34997558594,1901.34997558594,2792.88989257812,1348045.81746032,2320.81015353733,581338241,1711150727168,94.256,9.7822e+10,3.35387e+11,2.37565e+11,2.363e+10,1.9289e+10,-5.942e+09,1.3347e+10,1.8525e+10,6.188e+10,1569334219698.58,5.07138783762766,0.0552346990193418,0.00780001421738554,28.6402989680365,1.41979122949174,"HOLD",596,91.6923076923077,599,92.1538461538461,641,98.6153846153846
"EOG","Eog Resources","United States","Energy","Oil & Gas E&P",72.2300033569336,50.1385803222656,50.0702018737793,86.0952758789062,4310093.69047619,73.4065471830822,581609192,44792254464,0.108,1.5409e+10,3.6171e+10,2.0762e+10,3.388e+09,1.87e+09,-9.17e+08,9.53e+08,6.77e+08,4.067e+09,42009633890.5834,8.24010695187166,0.0187166514611153,0.0212759998665826,668.796327379015,1.44060727074192,"HOLD",570,87.6923076923077,615,94.6153846153846,640,98.4615384615385
"TROW","T Rowe Price Group","United States","Financial Services","Asset Management",203.309997558594,151.901260375977,151.901260375977,211.100006103516,1073538.43650794,180.229159279475,224366969,39584755712,11.776,1743300000,10764400000,8008200000,2830100000,994700000,-58800000,935900000,749400000,1826800000,45616047919.6191,1.75258872021715,0.0696183716695775,0.0236429398935582,17.2647756078969,1.33843522466748,"HOLD",646,99.3846153846154,535,82.3076923076923,639,98.3076923076923
"GRMN","Garmin Ltd","Switzerland","Technology","Scientific & Technical Instruments",158.529998779297,116.258895874023,116.258895874023,158.529998779297,670104.285714286,136.745070502872,142671249,27346282496,5.468,1818476000,7402724000,5584248000,1639447000,368362000,-36894000,331468000,316997000,1326905000,22617672929.8108,4.93665470379681,0.042821669428713,0.0121211356625342,28.9923187233535,1.36359456700051,"HOLD",619.5,95.3076923076923,560,86.1538461538462,638,98.1538461538462
"WAT","Waters Corp","United States","Healthcare","Diagnostics & Research",390.149993896484,268.809997558594,261.630004882812,391.019989013672,393515.055555556,312.409920828683,61314870,24831727616,9.875,2980601000,3211563000,230962000,683783000,218404000,-39503000,178901000,148127000,608545000,23921996156.2637,13.647190527646,0.046123024832457,0.0072045329574543,39.5088601414161,1.45139688791315,"HOLD",560,86.1538461538462,619,95.2307692307692,637,98
"NVO","Novo Nordisk A/S","Denmark","Healthcare","Biotechnology",92.5699996948242,69.4193572998047,66.1164855957031,92.5699996948242,940273.682539682,76.881217956543,1645128080,213294301184,2.92,8.2891e+10,1.41387e+11,5.8496e+10,5.683e+09,1.1255e+10,-1.402e+09,9.853e+09,1.2623e+10,3.3804e+10,152289505863.547,7.36481563749445,0.0892797781974297,0.0461943893733018,31.7020546900083,1.33348972527991,"HOLD",647,99.5384615384615,531,81.6923076923077,636,97.8461538461539
"NVDA","Nvidia Corp","United States","Technology","Semiconductors",194.139999389648,132.294006347656,115.865951538086,206.985000610352,36591797.031746,157.879759955028,599220090,494723235840,8.46,1.2022e+10,3.0796e+10,1.8774e+10,9.78e+08,1.874e+09,-2.98e+08,1.576e+09,1.912e+09,5.661e+09,116332587906.865,6.41515474919957,0.0620859851928822,0.00318561952588315,22.9479904715896,1.46748900233217,"HOLD",548,84.3076923076923,624,96,635,97.6923076923077
"PNR","Pentair Ltd","United Kingdom","Industrials","Specialty Industrial Machinery",72.8099975585938,54.1242599487305,53.3091659545898,72.8099975585938,990913.007936508,63.6864388481019,165367540,12454840320,2.832,2083100000,4354700000,2271600000,95900000,379800000,-11100000,368700000,132100000,941100000,12040410183.6707,5.48472880463402,0.0303350403012837,0.0296029487755006,25.7097449006334,1.34523774787061,"HOLD",631,97.0769230769231,540,83.0769230769231,634,97.5384615384615
"SJR","Shaw Communications Inc","Canada","Communication Services","Telecom Services",29.2900009155273,16.9036140441895,16.9036140441895,29.9162120819092,651381.015873016,25.9476670461988,474698327,20278878208,1.417,9.76e+09,1.598e+10,5.92e+09,4.91e+08,5.6e+08,-2.31e+08,3.29e+08,3.54e+08,1.375e+09,13903914432.4293,17.4285714285714,0.0221526908635795,0.0162237771056887,20.6704311330468,1.73276559905813,"HOLD",527,81.0769230769231,643,98.9230769230769,633,97.3846153846154
"FB","Facebook Inc","United States","Communication Services","Internet Content & Information",356.410003662109,262.010009765625,254.690002441406,373.279998779297,17950143.8174603,309.754206339518,2384540861,1006344339456,11.671,2.9866e+10,1.63523e+11,1.33657e+11,1.9513e+10,1.2242e+10,-4.272e+09,7.97e+09,9.497e+09,2.6171e+10,849874217001.459,2.43963404672439,0.0580774569938174,0.00791975438974332,30.5380861676043,1.36029155520023,"HOLD",609,93.6923076923077,558,85.8461538461539,632,97.2307692307692
"CNQ","Canadian Natural Resources","Canada","Energy","Oil & Gas E&P",32.5900001525879,22.45969581604,22.45969581604,37.5570602416992,3144481.03174603,31.6988110163855,1158296651,60180226048,1.492,4.1896e+10,7.5127e+10,3.3231e+10,1.66e+08,2.536e+09,-7.41e+08,1.795e+09,1.377e+09,6.608e+09,37748888032.832,16.5205047318612,0.0183289629560611,0.0298270730749383,21.8431636411447,1.45104370154974,"BUY",544.5,83.7692307692308,618,95.0769230769231,631,97.0769230769231
"MCO","Moody's Corp","United States","Financial Services","Financial Data & Stock Exchanges",376.260009765625,269.624664306641,269.624664306641,381.859985351562,699576.031746032,323.70445832752,186623424,72479129600,10.716,1.0275e+10,1.25e+10,2.03e+09,2.769e+09,6.76e+08,-1.4e+07,6.62e+08,7.36e+08,1.6e+09,70218931336.7344,15.1997041420118,0.05888,0.00913366376850088,35.1119829941793,1.39549551497154,"HOLD",574,88.3076923076923,585,90,629.5,96.8461538461539
"ORLY","O'Reilly Automotive","United States","Consumer Cyclical","Specialty Retail",601.289978027344,436.540008544922,433.049987792969,620.919982910156,513308.833333333,524.041905721029,68734764,48130363392,26.645,11857864000,11850887000,-6977000,610880000,822160000,-127728000,694432000,501609000,3090899000,41329524735.2747,14.4228179429795,0.0423267051656133,0.0144281478688238,22.5667096275978,1.37739947371964,"HOLD",588,90.4615384615385,571,87.8461538461539,629.5,96.8461538461539
