"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"FINV","Finvolution Group","China","Financial Services","Credit Services",7.01000022888184,2,1.85000002384186,9.77000045776367,2358475,3.70032257706888,82541687,1319273984,6451855000,14882185000,8363306000,2632174000,748459000,0,748459000,493939000,1852992000,578617244.762293,8.62018493999003,0.0331899516099282,0.567326430352772,5.98411563844097,1.17143461998808,3.50500011444092,"HOLD",973,96.9123505976096,981,97.7091633466136,1003.5,100
"CTHR","Charles & Colvard","United States","Consumer Cyclical","Luxury Goods",2.96000003814697,0.879999995231628,0.829999983310699,3.14000010490417,531695.2,1.61175999259949,22570833,65110316,6380555,51519767,45139212,16690105,3053980,-143229,2910751,2519077,12146790,66809666.5410089,2.08925893424318,0.0488953492355662,0.0447049128128943,0.111607622102383,26.5214864575434,3.36363642521141,"HOLD",978,97.4103585657371,976,97.2111553784861,1003.5,100
"KIRK","Kirkland's Inc","United States","Consumer Cyclical","Specialty Retail",28.1000003814697,9.17000007629395,9.09000015258789,30.8799991607666,1052374.4,19.1755200042725,10983904,495308736,292190000,387112000,94922000,100337000,64074000,-1118000,62956000,21084000,194918000,308647706.590027,4.560196023348,0.0544648577155965,0.127104562112953,1.91953607751852,14.6389540215342,3.06434025601735,"HOLD",988,98.406374501992,960,95.6175298804781,1002,99.8505231689088
"ZDGE","Zedge Inc Cl B","United States","Technology","Software輸pplication",12.1000003814697,1.55999994277954,1.38999998569489,15.5799999237061,691541.6,6.71148798370361,11102326,141274496,3827000,21785000,17958000,13608000,2274000,-186000,2088000,2278000,5314000,134338148.835201,1.68293755496922,0.104567362864356,0.0147797377383672,0.205182229381483,58.9719705158917,7.75641078544558,"HOLD",942.5,93.8745019920319,1001,99.7011952191235,1001,99.7508719481814
"FFHL","Fuwei Films [Holding","China","Consumer Cyclical","Packaging & Containers",10.3900003433228,3.73000001907349,3.73000001907349,14.7600002288818,58936.2903225806,8.38516125371379,1244839,45276400,197914000,446603000,248689000,86310000,46343000,-3491000,42852000,13483000,84316000,12933877.6373816,4.27063418423494,0.0301901241147059,0.946453339929853,10.8311195263002,0.959272983563121,2.78552286600352,"HOLD",985,98.1075697211155,945,94.1235059760956,1000,99.6512207274539
"MOV","Movado Group Inc","United States","Consumer Cyclical","Luxury Goods",28.4500007629395,10.4699764251709,10.4301652908325,28.4500007629395,194545.161290323,18.3532124796221,16091188,546745728,289323000,719257000,425264000,223811000,75116000,-590000,74526000,30265000,178330000,457794310.876602,3.85168273070984,0.0420781445297022,0.136308335270614,1.8808431049342,15.1261956344491,2.71729367933845,"HOLD",987,98.3067729083665,938,93.4262948207171,999,99.5515695067265
"EVK","Ever Glory Intl Group","China","Consumer Cyclical","Apparel Manufacturing",2.67000007629395,0.810000002384186,0.810000002384186,5.25,2564215.32258065,2.88741935308903,3983069,63442340,197277000,331726000,134449000,81865000,15858000,-3585000,12273000,7558000,79004000,10634794.533884,12.4402194475974,0.0227838637912012,0.193451250379478,1.89753177763177,1.40709110001112,3.2962963807839,"HOLD",942.5,93.8745019920319,975,97.1115537848606,998,99.451918285999
"NCSM","Ncs Multistage Holdings Inc","United States","Energy","Oil & Gas Equipment & Services",27.75,11.3999996185303,11.1999998092651,38.5,4189.84,24.7790959854126,629579,81427192,25192000,138678000,93608000,15545000,20609000,-216000,20393000,8570000,27383000,17470817.25,1.22237857246834,0.0617978338308888,0.250444593496482,13.6122710573256,2.03860177946324,2.43421060776997,"HOLD",996,99.203187250996,920,91.6334661354582,997,99.3522670652715
"GILT","Gilat Satellite Ntwk","Israel","Technology","Communication Equipment",10.460000038147,4.49656391143799,4.30668926239014,21.2999992370605,1516859.67741935,8.66615895302065,36142753,487852864,159996000,393806000,233810000,88754000,60421000,-1976000,58445000,62442000,42627000,378053197.758737,2.64801972824018,0.158560306343733,0.119800465084489,1.72764924686285,6.05446971203255,2.32622069743959,"HOLD",994,99.003984063745,905,90.1394422310757,996,99.2526158445441
"SSNT","Silversun Technologies Inc Cl A","United States","Technology","Software輸pplication",7.6399998664856,2.33939242362976,2.19707179069519,7.71000003814697,403012.8,4.10368619346619,2592132,35109012,8621416,15901408,7279992,6595416,1481956,-26787,1455169,379043,11308787,19803888.133913,5.81759242514623,0.0238370715347974,0.0414471646197278,0.146228278498163,52.247075223426,3.26580516775014,"HOLD",927,92.3306772908366,971,96.7131474103586,995,99.1529646238166
