"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"DDS","Dillard's","United States","Consumer Cyclical","Department Stores",190.335006713867,85.9760437011719,82.7141494750977,207.729995727539,304701.643410853,141.61881906672,4355338,3696430336,11.135,1969963000,3507660000,1537697000,615920000,302413000,-16850000,285563000,158247000,1357535000,828973287.471161,6.51414787062726,0.0451146918458459,0.0772537215753442,17.0933997946895,2.2138144362099,"HOLD",1225,98.6312399355878,1235,99.4363929146538,1242,100
"BGFV","Big 5 Sporting","United States","Consumer Cyclical","Specialty Retail",29.1200008392334,13.9640502929688,12.0288162231445,34.8699989318848,20558617.0787402,22.1379152057678,20325689,702503488,3.734,496463000,759414000,262951000,118940000,46764000,-2363000,44401000,36803000,326020000,591884080.737997,10.6163501839021,0.0484623670356354,0.0632039566471163,7.79860761629175,2.08535490980694,"HOLD",1214,97.7455716586151,1232,99.194847020934,1241,99.9194847020934
"CROX","Crocs Inc","United States","Consumer Cyclical","Footwear & Accessories",143.720001220703,78.2699966430664,73.25,146.589996337891,1328786.4496124,106.509922234587,60163984,9446453248,5.883,1135038000,1493802000,358764000,197853000,212216000,-13346000,198870000,318954000,640773000,8646767853.92236,5.34850341161835,0.213518257439741,0.021052345761845,24.4297129390962,1.83620809230525,"HOLD",1211,97.5040257648953,1224,98.5507246376812,1240,99.8389694041868
"DAC","Danaos Corp","Greece","Industrials","Marine Shipping",86.4150009155273,40.1897430419922,37.5695304870605,86.4150009155273,456063.651162791,62.6142889806466,8615919,2791213568,6.45,1486937000,3200130000,1713193000,294418000,104485000,-575000,103910000,372837000,146434000,744544648.273109,14.2311049432933,0.116506829410055,0.0372275347151078,13.3976745605469,2.15017550187461,"HOLD",1200.5,96.658615136876,1234,99.3558776167472,1239,99.7584541062802
"TX","Ternium S.A.","Luxembourg","Basic Materials","Steel",54.1870002746582,32.6241722106934,30.9654769897461,56.189998626709,880972.271317829,40.8458999515504,48947356,12541142016,7.096,4902822000,14850579000,8549548000,768691000,628410000,-161432000,466978000,1022108000,3919764000,2652310393.01579,7.80194777295078,0.0688261380246521,0.0372356839117386,7.63627399586502,1.66094636592487,"HOLD",1217,97.987117552335,1215,97.8260869565217,1238,99.6779388083736
"HIBB","Hibbett Sports Inc","United States","Consumer Cyclical","Specialty Retail",97.9000015258789,63.7732048034668,57.8396530151367,98.9700012207031,433424.356589147,80.4322077137555,14894415,1441361024,4.36,401293000,840759000,439466000,270852000,108360000,-7033000,101327000,84766000,506861000,1458163251.22707,3.70333148763381,0.100820805962232,0.0702995282325603,22.4541287903392,1.53512751676166,"HOLD",1236,99.5169082125604,1190,95.8132045088567,1237,99.597423510467
"IMOS","Chipmos Tech","Taiwan","Technology","Semiconductors",43.5750007629395,25.9801273345947,24.9401512145996,43.5750007629395,28644.7674418605,33.1248750169148,28815431,5211306496,2.54,15350056000,37110728000,21760672000,5590833000,2021920000,-1490772000,531148000,959121000,6465339000,1255632427.80943,7.5918216348817,0.0258448446497735,0.101922233974856,17.1555121113935,1.6772435408704,"HOLD",1209,97.3429951690821,1216,97.9066022544283,1236,99.5169082125604
"DKS","Dick's Sporting Goods Inc","United States","Consumer Cyclical","Specialty Retail",144.559997558594,72.3478546142578,69.2833633422852,144.559997558594,1892980.31007752,93.5105772388074,62647463,10073369600,10.535,5467856000,8066580000,2598724000,1858737000,447351000,-71097000,376254000,361756000,2918719000,9056317098.33209,12.2227423209068,0.0448462669433639,0.037351354605315,13.7218792177118,1.99812417837895,"HOLD",1195,96.2157809983897,1229,98.9533011272142,1235,99.4363929146538
"HHR","Headhunter Group Plc ADR","Russia","Industrials","Staffing & Employment Services",54.9599990844727,34.5671348571777,30.8818130493164,55.2799987792969,150132.775193798,40.3036596608716,24896064,5695549440,0.607,16152749000,20683865000,4374345000,4833839000,1912574000,-14279000,1898295000,898801000,2841115000,1368287654.64697,8.44555504780469,0.04345420935594,0.333294446830401,90.5436558228545,1.58994950873287,"HOLD",1224,98.5507246376812,1199,96.5378421900161,1233.5,99.3156199677939
"STMP","Stamps.com Inc","United States","Technology","Software—Application",328.886810302734,193.050003051758,166.279998779297,329.239990234375,324244.527131783,234.356796501219,17659470,3246315520,10.102,338633000,1349255000,1010622000,567471000,137014000,-1233000,135781000,34244000,189090000,5807966759.93683,2.47152115842177,0.0253799318883384,0.0418261869998391,32.5566036728108,1.70363535407227,"HOLD",1204,96.9404186795491,1219,98.1481481481482,1233.5,99.3156199677939
