"Ticker","CompanyName","Sector","Industry","Signal","Final_rank","Quality","Momentum","PER","NShares","CP","MCap","Slope","FCF","Debt","ROA","FCF2D","EV","FCF2EV","MomentumValue"
"AME","Amtek Inc","Industrials","Specialty Industrial Machinery",NA,61,58,61,NA,NA,NA,NA,NA,1160934912,2586845952,0.06491,2.22824374154061,NA,0,NA
"ALLE","Allegion Plc","Industrials","Security & Protection Services",NA,60,57,55,NA,NA,NA,NA,NA,377912512,1523500032,0.11869001,4.03135642145662,NA,0,NA
"AMCR","Amcor Plc","Consumer Cyclical","Packaging & Containers",NA,59,48,60,NA,NA,NA,NA,NA,1334912512,6936999936,0.050619997,5.19659518780509,NA,0,NA
"ALL","Allstate Corp","Financial Services","Insurance—Property & Casualty",NA,58,50,54,NA,NA,NA,NA,NA,2698874880,8.336e+09,0.043309998,3.08869450072469,NA,0,NA
"ALG","Alamo Group","Industrials","Farm & Heavy Construction Machinery",NA,57,43,53,NA,NA,NA,NA,NA,157925504,299631008,0.054190002,1.89729334661487,1994521984,12.6295115955432,NA
"AJRD","Aerojet Rocketdyne Holdings","Industrials","Aerospace & Defense",NA,56,47,48,NA,NA,NA,NA,NA,716649984,673400000,0.047280002,0.939649780275443,3123518208,4.35849895728177,NA
"ALSN","Allison Transmission Holdings","Consumer Cyclical","Auto Parts",NA,55,38,56,NA,NA,NA,NA,NA,317624992,2593999872,0.07869,8.16686324229801,6678959104,21.0278135292326,NA
"AJX","Great Ajax Corp","Real Estate","REIT—Mortgage",NA,54,44,49,NA,NA,NA,NA,NA,0,1126092032,0.02081,0,1429537920,0,NA
"ALV","Autoliv Inc","Consumer Cyclical","Auto Parts",NA,53,35,57,NA,NA,NA,NA,NA,556137472,2.552e+09,0.0392,4.58879347011525,9014746112,16.2095642999578,NA
"AGCO","Agco Corp","Industrials","Farm & Heavy Construction Machinery",NA,51.5,52,36,NA,NA,NA,NA,NA,738800000,1798599936,0.04858,2.43448827287493,NA,0,NA
"AJG","Arthur J. Gallagher & Company","Financial Services","Insurance Brokers",NA,51.5,41,47,NA,NA,NA,NA,NA,732987520,5019700224,0.0334,6.84827515753611,NA,0,NA
"AIT","Applied Industrial Technologies","Industrials","Industrial Distribution",NA,50,42,44,NA,NA,NA,NA,NA,344348640,861713984,0.057589997,2.50244631138953,4011516672,11.6495789616012,NA
"ALB","Albemarle Corp","Basic Materials","Specialty Chemicals",NA,49,33.5,51,NA,NA,NA,NA,NA,-51563000,3711119872,0.03384,99,NA,0,NA
"AL","Air Lease Corp Cl A","Industrials","Rental & Leasing Services",NA,48,32,50,NA,NA,NA,NA,NA,-1436905000,16576824320,0.02987,99,NA,0,NA
"AIR","AAR Corp","Industrials","Aerospace & Defense",NA,47,33.5,43,NA,NA,NA,NA,NA,162387504,266800000,0.02365,1.64298356356287,1566899968,9.64914127875258,NA
"ACN","Accenture Plc","Technology","Information Technology Services",NA,45,60,16,NA,NA,NA,NA,NA,8584699904,3474390016,0.11569,0.404718866687597,NA,0,NA
"AEM","Agnico-Eagle Mines Ltd","Basic Materials","Gold",NA,45,54,22,NA,NA,NA,NA,NA,473632384,1685516032,0.0634,3.55870098612176,NA,0,NA
"AM","Antero Midstream Corp","Energy","Oil & Gas Midstream",NA,45,17,59,NA,NA,NA,NA,NA,123604496,3091625984,0.05874,25.0122453798121,7168540672,57.9957922566182,NA
"AGI","Alamos Gold Inc","Basic Materials","Gold",NA,42.5,36,37,NA,NA,NA,NA,NA,6225000,2900000,0.04161,0.465863453815261,2869131264,460.904620722892,NA
"AIZP","Assurant Inc 6.50% Series D Mandatory Converti","Financial Services","Insurance—Specialty",NA,42.5,27,46,NA,NA,NA,NA,NA,1316937472,2330599936,0.01102,1.76971191537331,7158897664,5.43601941338032,NA
"AIZ","Assurant Inc","Financial Services","Insurance—Specialty",NA,40.5,26,45,NA,NA,NA,NA,NA,1316937472,2330599936,0.01102,1.76971191537331,7917427712,6.01199971930026,NA
"ALX","Alexander's Inc","Real Estate","REIT—Retail",NA,40.5,13,58,NA,NA,NA,NA,NA,83141376,1161073024,0.03375,13.9650446006571,2202649600,26.4928210954796,NA
"ABEV","Ambev S.A.","Consumer Defensive","Beverages—Brewers",NA,39,59,8,NA,NA,NA,NA,NA,2492232192,869971456,0.0759,0.349073195825247,NA,0,NA
"AB","Alliancebernstein Holding LP","Financial Services","Asset Management",NA,37.5,61,5,NA,NA,NA,NA,NA,0,0,0.12198,0,4017475328,0,NA
"AGO","Assured Guaranty Ltd","Financial Services","Insurance—Specialty",NA,37.5,28,38,NA,NA,NA,NA,NA,611875008,1.368e+09,0.016180001,2.23575073685637,3693218048,6.03590275744683,NA
"ABR","Arbor Realty Trust","Real Estate","REIT—Mortgage",NA,36,53,11,NA,NA,NA,NA,NA,0,5986865152,0.02822,0,7846578688,0,NA
"ABT","Abbott Laboratories","Healthcare","Medical Devices",NA,35,51,12,NA,NA,NA,NA,NA,5325374976,19889999872,0.049429998,3.73494823587799,NA,0,NA
"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers—General",NA,33.5,55,7,NA,NA,NA,NA,NA,16861124608,87096999936,0.081870005,5.16555105076891,NA,0,NA
"AFL","Aflac Inc","Financial Services","Insurance—Life",NA,33.5,29,33,NA,NA,NA,NA,NA,737374976,8862999552,0.01731,12.0196641335439,NA,0,NA
"AIF","Apollo Tactical Income Fund Inc","Financial Services","Asset Management",NA,32,15.5,42,NA,NA,NA,NA,NA,14786401,109820192,0.027490001,7.42710765114513,320605824,21.6824786504843,NA
"A","Agilent Technologies","Healthcare","Diagnostics & Research",NA,30.5,56,1,NA,NA,NA,NA,NA,876249984,2675000064,0.07503,3.05278186915208,NA,0,NA
"ACRE","Ares Commercial Real Estate Cor","Real Estate","REIT—Mortgage",NA,30.5,40,17,NA,NA,NA,NA,NA,0,1431049984,0.01176,0,1816299136,0,NA
"ABM","ABM Industries Inc","Industrials","Specialty Business Services",NA,29,46,10,NA,NA,NA,NA,NA,496124992,862600000,0.055159997,1.738674757187,3787125760,7.63341057408372,NA
"ABB","Abb Ltd","Industrials","Electrical Equipment & Parts",NA,28,49,6,NA,NA,NA,NA,NA,5889625088,7123999744,0.02696,1.20958458943592,NA,0,NA
"ALE","Allete Inc","Utilities","Utilities—Diversified",NA,27,1,52,NA,NA,NA,NA,NA,-4.18e+08,1819299968,0.017239999,99,5752609792,99,NA
"AGRO","Adecoagro S.A.","Consumer Defensive","Farm Products",NA,26,12,40,NA,NA,NA,NA,NA,31624750,1166861952,0.04264,36.8971122933778,1840481792,58.1975127708519,NA
"ADS","Alliance Data Systems Corp","Financial Services","Credit Services",NA,23.5,31,20,NA,NA,NA,NA,NA,3874874880,18608199680,0.013890001,4.8022711071383,NA,0,NA
"AEE","Ameren Corp","Utilities","Utilities—Regulated Electric",NA,23.5,30,21,NA,NA,NA,NA,NA,-1.572e+09,11617000448,0.02903,99,NA,0,NA
"ACA","Arcosa Inc","Industrials","Infrastructure Operations",NA,20.5,37,13,NA,NA,NA,NA,NA,120625000,2.83e+08,0.04152,2.34611398963731,3018573568,25.0244440870466,NA
"AGR","Avangrid Inc","Utilities","Utilities—Regulated Electric",NA,20.5,11,39,NA,NA,NA,NA,NA,-1.493e+09,11358999552,0.01423,99,NA,0,NA
"AAP","Advance Auto Parts Inc","Consumer Cyclical","Specialty Retail",NA,16.5,45,3,NA,NA,NA,NA,NA,621665152,3510071040,0.043309998,5.64624063084044,NA,0,NA
"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships",NA,16.5,39,9,NA,NA,NA,NA,NA,398237504,2372400128,0.0771,5.95724939055464,5856033792,14.7048777003183,NA
"AHH","Armada Hoffler Properties Inc","Real Estate","REIT—Diversified",NA,14,6,41,NA,NA,NA,NA,NA,82732000,1038310976,0.014450001,12.5502946381086,2143111424,25.9042622443553,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AEP","American Electric Power Company","Utilities","Utilities—Regulated Electric",NA,11,21.5,23,NA,NA,NA,NA,NA,-2483100000,34720600064,0.02479,99,NA,0,NA
"AFT","Apollo Senior Floating Rate Fund Inc","Financial Services","Asset Management",NA,10,10,34,NA,NA,NA,NA,NA,9030966,120972400,0.025929999,13.3952890532419,346226080,38.3376573447403,NA
"AFG","American Financial Group","Financial Services","Insurance—Property & Casualty",NA,9,8.5,32,NA,NA,NA,NA,NA,-2498874880,3252999936,0.011729999,99,NA,0,NA
"AG","First Majestic Silver","Basic Materials","Silver",NA,8,3.5,35,NA,NA,NA,NA,NA,-32256000,173283008,0.02648,99,3427557632,99,NA
"AFB","Alliance National Municipal","Financial Services","Asset Management",NA,7,5,31,NA,NA,NA,NA,NA,14653192,258014960,0.01911,17.6081061382394,663893440,45.3070866743574,NA
"ADM","Archer Daniels Midland","Consumer Defensive","Farm Products",NA,6,14,19,NA,NA,NA,NA,NA,-3.209e+09,11068000256,0.02409,99,NA,0,NA
"ACCO","Acco Brands Corp","Industrials","Business Equipment & Supplies",NA,5,15.5,15,NA,NA,NA,NA,NA,128587504,1230200064,0.026700001,9.56702654404117,1952891008,15.1872534052765,NA
"ADC","Agree Realty Corp","Real Estate","REIT—Retail",NA,4,8.5,18,NA,NA,NA,NA,NA,172570000,1252583936,0.02467,7.25841070869792,5458936832,31.6331739699832,NA
"ACC","American Campus Communities Inc","Real Estate","REIT—Residential",NA,3,2,14,NA,NA,NA,NA,NA,295713632,4089844992,0.01159,13.830424266677,9959657472,33.6800755671622,NA
"AA","Alcoa Corp","Basic Materials","Aluminum",NA,2,7,2,NA,NA,NA,NA,NA,401624992,2607000064,0.01573,6.49113007389739,7867016704,19.5879660397229,NA
"AAT","American Assets Trust","Real Estate","REIT—Diversified",NA,1,3.5,4,NA,NA,NA,NA,NA,59033124,1441341952,0.01974,24.4158169911523,3253175552,55.1076299468752,NA
